,229 Z 5min,,,,,229 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,15,2,4,0,0,22,3,3
5,0,0,15,2,4,0,0,22,3,3
10,0,0,15,2,4,0,0,22,3,3
15,0,0,15,2,4,0,0,22,3,3
20,0,0,15,2,4,0,0,22,3,3
25,0,0,15,2,4,0,0,22,3,3
30,0,0,15,2,4,0,0,22,3,3
35,0,0,15,2,4,0,0,22,3,3
40,0,0,15,2,4,0,0,22,3,3
45,0,0,15,2,4,0,0,22,3,3
50,0,0,15,2,4,0,0,22,3,3
55,0,0,15,2,4,0,0,22,3,3
60,0,0,8,2,3,0,0,9,2,3
65,0,0,8,2,3,0,0,9,2,3
70,0,0,8,2,3,0,0,9,2,3
75,0,0,8,2,3,0,0,9,2,3
80,0,0,8,2,3,0,0,9,2,3
85,0,0,8,2,3,0,0,9,2,3
90,0,0,8,2,3,0,0,9,2,3
95,0,0,8,2,3,0,0,9,2,3
100,0,0,8,2,3,0,0,9,2,3
105,0,0,8,2,3,0,0,9,2,3
110,0,0,8,2,3,0,0,9,2,3
115,0,0,8,2,3,0,0,9,2,3
120,0,0,7,1,3,0,0,6,2,3
125,0,0,7,1,3,0,0,6,2,3
130,0,0,7,1,3,0,0,6,2,3
135,0,0,7,1,3,0,0,6,2,3
140,0,0,7,1,3,0,0,6,2,3
145,0,0,7,1,3,0,0,6,2,3
150,0,0,7,1,3,0,0,6,2,3
155,0,0,7,1,3,0,0,6,2,3
160,0,0,7,1,3,0,0,6,2,3
165,0,0,7,1,3,0,0,6,2,3
170,0,0,7,1,3,0,0,6,2,3
175,0,0,7,1,3,0,0,6,2,3
180,0,0,12,2,3,0,0,8,2,4
185,0,0,12,2,3,0,0,8,2,4
190,0,0,12,2,3,0,0,8,2,4
195,0,0,12,2,3,0,0,8,2,4
200,0,0,12,2,3,0,0,8,2,4
205,0,0,12,2,3,0,0,8,2,4
210,0,0,12,2,3,0,0,8,2,4
215,0,0,12,2,3,0,0,8,2,4
220,0,0,12,2,3,0,0,8,2,4
225,0,0,12,2,3,0,0,8,2,4
230,0,0,12,2,3,0,0,8,2,4
235,0,0,12,2,3,0,0,8,2,4
240,0,0,32,3,6,0,0,21,3,5
245,0,0,32,3,6,0,0,21,3,5
250,0,0,32,3,6,0,0,21,3,5
255,0,0,32,3,6,0,0,21,3,5
260,0,0,32,3,6,0,0,21,3,5
265,0,0,32,3,6,0,0,21,3,5
270,0,0,32,3,6,0,0,21,3,5
