,229 Z 5min,,,,,229 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,23,2,3,0,0,38,1,2
5,0,0,23,2,3,0,0,38,1,2
10,0,0,23,2,3,0,0,38,1,2
15,0,0,23,2,3,0,0,38,1,2
20,0,0,23,2,3,0,0,38,1,2
25,0,0,23,2,3,0,0,38,1,2
30,0,0,23,2,3,0,0,38,1,2
35,0,0,23,2,3,0,0,38,1,2
40,0,0,23,2,3,0,0,38,1,2
45,0,0,23,2,3,0,0,38,1,2
50,0,0,23,2,3,0,0,38,1,2
55,0,0,23,2,3,0,0,38,1,2
60,0,0,13,2,3,0,0,18,1,2
65,0,0,13,2,3,0,0,18,1,2
70,0,0,13,2,3,0,0,18,1,2
75,0,0,13,2,3,0,0,18,1,2
80,0,0,13,2,3,0,0,18,1,2
85,0,0,13,2,3,0,0,18,1,2
90,0,0,13,2,3,0,0,18,1,2
95,0,0,13,2,3,0,0,18,1,2
100,0,0,13,2,3,0,0,18,1,2
105,0,0,13,2,3,0,0,18,1,2
110,0,0,13,2,3,0,0,18,1,2
115,0,0,13,2,3,0,0,18,1,2
120,0,0,9,1,3,0,0,14,1,2
125,0,0,9,1,3,0,0,14,1,2
130,0,0,9,1,3,0,0,14,1,2
135,0,0,9,1,3,0,0,14,1,2
140,0,0,9,1,3,0,0,14,1,2
145,0,0,9,1,3,0,0,14,1,2
150,0,0,9,1,3,0,0,14,1,2
155,0,0,9,1,3,0,0,14,1,2
160,0,0,9,1,3,0,0,14,1,2
165,0,0,9,1,3,0,0,14,1,2
170,0,0,9,1,3,0,0,14,1,2
175,0,0,9,1,3,0,0,14,1,2
180,0,0,16,2,5,0,0,16,1,2
185,0,0,16,2,5,0,0,16,1,2
190,0,0,16,2,5,0,0,16,1,2
195,0,0,16,2,5,0,0,16,1,2
200,0,0,16,2,5,0,0,16,1,2
205,0,0,16,2,5,0,0,16,1,2
210,0,0,16,2,5,0,0,16,1,2
215,0,0,16,2,5,0,0,16,1,2
220,0,0,16,2,5,0,0,16,1,2
225,0,0,16,2,5,0,0,16,1,2
230,0,0,16,2,5,0,0,16,1,2
235,0,0,16,2,5,0,0,16,1,2
240,0,1,42,3,12,0,0,42,2,4
245,0,1,42,3,12,0,0,42,2,4
250,0,1,42,3,12,0,0,42,2,4
255,0,1,42,3,12,0,0,42,2,4
260,0,1,42,3,12,0,0,42,2,4
265,0,1,42,3,12,0,0,42,2,4
270,0,1,42,3,12,0,0,42,2,4
275,0,1,42,3,12,0,0,42,2,4
280,0,1,42,3,12,0,0,42,2,4
285,0,1,42,3,12,0,0,42,2,4
290,0,1,42,3,12,0,0,42,2,4
295,0,1,42,3,12,0,0,42,2,4
300,0,2,178,11,44,0,1,115,8,19
305,0,2,178,11,44,0,1,115,8,19
310,0,2,178,11,44,0,1,115,8,19
315,0,2,178,11,44,0,1,115,8,19
320,0,2,178,11,44,0,1,115,8,19
325,0,2,178,11,44,0,1,115,8,19
330,0,2,178,11,44,0,1,115,8,19
335,0,2,178,11,44,0,1,115,8,19
340,0,2,178,11,44,0,1,115,8,19
345,0,2,178,11,44,0,1,115,8,19
350,0,2,178,11,44,0,1,115,8,19
355,0,2,178,11,44,0,1,115,8,19
360,0,2,288,16,30,0,2,260,14,30
365,0,2,288,16,30,0,2,260,14,30
370,0,2,288,16,30,0,2,260,14,30
375,0,2,288,16,30,0,2,260,14,30
380,0,2,288,16,30,0,2,260,14,30
385,0,2,288,16,30,0,2,260,14,30
390,0,2,288,16,30,0,2,260,14,30
395,0,2,288,16,30,0,2,260,14,30
400,0,2,288,16,30,0,2,260,14,30
405,0,2,288,16,30,0,2,260,14,30
410,0,2,288,16,30,0,2,260,14,30
415,0,2,288,16,30,0,2,260,14,30
420,0,2,278,15,20,0,2,249,11,19
425,0,2,278,15,20,0,2,249,11,19
430,0,2,278,15,20,0,2,249,11,19
435,0,2,278,15,20,0,2,249,11,19
440,0,2,278,15,20,0,2,249,11,19
445,0,2,278,15,20,0,2,249,11,19
450,0,2,278,15,20,0,2,249,11,19
455,0,2,278,15,20,0,2,249,11,19
460,0,2,278,15,20,0,2,249,11,19
465,0,2,278,15,20,0,2,249,11,19
470,0,2,278,15,20,0,2,249,11,19
475,0,2,278,15,20,0,2,249,11,19
480,0,2,256,14,24,0,2,202,10,23
485,0,2,256,14,24,0,2,202,10,23
490,0,2,256,14,24,0,2,202,10,23
495,0,2,256,14,24,0,2,202,10,23
500,0,2,256,14,24,0,2,202,10,23
505,0,2,256,14,24,0,2,202,10,23
510,0,2,256,14,24,0,2,202,10,23
515,0,2,256,14,24,0,2,202,10,23
520,0,2,256,14,24,0,2,202,10,23
525,0,2,256,14,24,0,2,202,10,23
530,0,2,256,14,24,0,2,202,10,23
535,0,2,256,14,24,0,2,202,10,23
540,0,2,218,13,28,1,1,183,12,27
545,0,2,218,13,28,1,1,183,12,27
550,0,2,218,13,28,1,1,183,12,27
555,0,2,218,13,28,1,1,183,12,27
560,0,2,218,13,28,1,1,183,12,27
565,0,2,218,13,28,1,1,183,12,27
570,0,2,218,13,28,1,1,183,12,27
575,0,2,218,13,28,1,1,183,12,27
580,0,2,218,13,28,1,1,183,12,27
585,0,2,218,13,28,1,1,183,12,27
590,0,2,218,13,28,1,1,183,12,27
595,0,2,218,13,28,1,1,183,12,27
600,0,2,202,13,25,1,1,187,13,28
605,0,2,202,13,25,1,1,187,13,28
610,0,2,202,13,25,1,1,187,13,28
615,0,2,202,13,25,1,1,187,13,28
620,0,2,202,13,25,1,1,187,13,28
625,0,2,202,13,25,1,1,187,13,28
630,0,2,202,13,25,1,1,187,13,28
635,0,2,202,13,25,1,1,187,13,28
640,0,2,202,13,25,1,1,187,13,28
645,0,2,202,13,25,1,1,187,13,28
650,0,2,202,13,25,1,1,187,13,28
655,0,2,202,13,25,1,1,187,13,28
660,0,2,201,13,22,0,1,201,12,28
665,0,2,201,13,22,0,1,201,12,28
670,0,2,201,13,22,0,1,201,12,28
675,0,2,201,13,22,0,1,201,12,28
680,0,2,201,13,22,0,1,201,12,28
685,0,2,201,13,22,0,1,201,12,28
690,0,2,201,13,22,0,1,201,12,28
695,0,2,201,13,22,0,1,201,12,28
700,0,2,201,13,22,0,1,201,12,28
705,0,2,201,13,22,0,1,201,12,28
710,0,2,201,13,22,0,1,201,12,28
715,0,2,201,13,22,0,1,201,12,28
720,0,2,213,12,21,0,2,220,11,26
725,0,2,213,12,21,0,2,220,11,26
730,0,2,213,12,21,0,2,220,11,26
735,0,2,213,12,21,0,2,220,11,26
740,0,2,213,12,21,0,2,220,11,26
745,0,2,213,12,21,0,2,220,11,26
750,0,2,213,12,21,0,2,220,11,26
755,0,2,213,12,21,0,2,220,11,26
760,0,2,213,12,21,0,2,220,11,26
765,0,2,213,12,21,0,2,220,11,26
770,0,2,213,12,21,0,2,220,11,26
775,0,2,213,12,21,0,2,220,11,26
780,0,3,224,14,23,0,2,215,11,24
785,0,3,224,14,23,0,2,215,11,24
790,0,3,224,14,23,0,2,215,11,24
795,0,3,224,14,23,0,2,215,11,24
800,0,3,224,14,23,0,2,215,11,24
805,0,3,224,14,23,0,2,215,11,24
810,0,3,224,14,23,0,2,215,11,24
815,0,3,224,14,23,0,2,215,11,24
820,0,3,224,14,23,0,2,215,11,24
825,0,3,224,14,23,0,2,215,11,24
830,0,3,224,14,23,0,2,215,11,24
