,335 Z 5min,,,,,335 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
710,2,4,154,13,27,2,3,155,12,25
715,2,4,154,13,27,2,3,155,12,25
720,2,4,167,12,27,2,3,164,12,24
725,2,4,167,12,27,2,3,164,12,24
730,2,4,167,12,27,2,3,164,12,24
735,2,4,167,12,27,2,3,164,12,24
740,2,4,167,12,27,2,3,164,12,24
745,2,4,167,12,27,2,3,164,12,24
750,2,4,167,12,27,2,3,164,12,24
755,2,4,167,12,27,2,3,164,12,24
760,2,4,167,12,27,2,3,164,12,24
765,2,4,167,12,27,2,3,164,12,24
770,2,4,167,12,27,2,3,164,12,24
775,2,4,167,12,27,2,3,164,12,24
780,2,4,179,15,29,2,3,169,11,25
785,2,4,179,15,29,2,3,169,11,25
790,2,4,179,15,29,2,3,169,11,25
795,2,4,179,15,29,2,3,169,11,25
800,2,4,179,15,29,2,3,169,11,25
805,2,4,179,15,29,2,3,169,11,25
810,2,4,179,15,29,2,3,169,11,25
815,2,4,179,15,29,2,3,169,11,25
820,2,4,179,15,29,2,3,169,11,25
825,2,4,179,15,29,2,3,169,11,25
830,2,4,179,15,29,2,3,169,11,25
835,2,4,179,15,29,2,3,169,11,25
840,2,4,185,14,29,2,3,176,11,27
845,2,4,185,14,29,2,3,176,11,27
850,2,4,185,14,29,2,3,176,11,27
855,2,4,185,14,29,2,3,176,11,27
860,2,4,185,14,29,2,3,176,11,27
865,2,4,185,14,29,2,3,176,11,27
870,2,4,185,14,29,2,3,176,11,27
875,2,4,185,14,29,2,3,176,11,27
880,2,4,185,14,29,2,3,176,11,27
885,2,4,185,14,29,2,3,176,11,27
890,2,4,185,14,29,2,3,176,11,27
895,2,4,185,14,29,2,3,176,11,27
900,2,5,210,13,24,2,3,204,11,25
905,2,5,210,13,24,2,3,204,11,25
910,2,5,210,13,24,2,3,204,11,25
915,2,5,210,13,24,2,3,204,11,25
920,2,5,210,13,24,2,3,204,11,25
925,2,5,210,13,24,2,3,204,11,25
930,2,5,210,13,24,2,3,204,11,25
935,2,5,210,13,24,2,3,204,11,25
940,2,5,210,13,24,2,3,204,11,25
945,2,5,210,13,24,2,3,204,11,25
950,2,5,210,13,24,2,3,204,11,25
955,2,5,210,13,24,2,3,204,11,25
960,2,7,249,12,19,1,4,243,11,19
965,2,7,249,12,19,1,4,243,11,19
970,2,7,249,12,19,1,4,243,11,19
975,2,7,249,12,19,1,4,243,11,19
980,2,7,249,12,19,1,4,243,11,19
985,2,7,249,12,19,1,4,243,11,19
990,2,7,249,12,19,1,4,243,11,19
995,2,7,249,12,19,1,4,243,11,19
1000,2,7,249,12,19,1,4,243,11,19
1005,2,7,249,12,19,1,4,243,11,19
1010,2,7,249,12,19,1,4,243,11,19
1015,2,7,249,12,19,1,4,243,11,19
1020,1,8,261,9,14,1,4,245,8,13
1025,1,8,261,9,14,1,4,245,8,13
1030,1,8,261,9,14,1,4,245,8,13
1035,1,8,261,9,14,1,4,245,8,13
1040,1,8,261,9,14,1,4,245,8,13
1045,1,8,261,9,14,1,4,245,8,13
1050,1,8,261,9,14,1,4,245,8,13
1055,1,8,261,9,14,1,4,245,8,13
1060,1,8,261,9,14,1,4,245,8,13
1065,1,8,261,9,14,1,4,245,8,13
1070,1,8,261,9,14,1,4,245,8,13
1075,1,8,261,9,14,1,4,245,8,13
1080,1,5,208,7,12,1,4,201,6,12
1085,1,5,208,7,12,1,4,201,6,12
1090,1,5,208,7,12,1,4,201,6,12
1095,1,5,208,7,12,1,4,201,6,12
1100,1,5,208,7,12,1,4,201,6,12
1105,1,5,208,7,12,1,4,201,6,12
1110,1,5,208,7,12,1,4,201,6,12
1115,1,5,208,7,12,1,4,201,6,12
1120,1,5,208,7,12,1,4,201,6,12
1125,1,5,208,7,12,1,4,201,6,12
1130,1,5,208,7,12,1,4,201,6,12
1135,1,5,208,7,12,1,4,201,6,12
1140,1,4,141,5,9,1,3,145,5,11
1145,1,4,141,5,9,1,3,145,5,11
1150,1,4,141,5,9,1,3,145,5,11
1155,1,4,141,5,9,1,3,145,5,11
1160,1,4,141,5,9,1,3,145,5,11
1165,1,4,141,5,9,1,3,145,5,11
1170,1,4,141,5,9,1,3,145,5,11
1175,1,4,141,5,9,1,3,145,5,11
1180,1,4,141,5,9,1,3,145,5,11
1185,1,4,141,5,9,1,3,145,5,11
1190,1,4,141,5,9,1,3,145,5,11
1195,1,4,141,5,9,1,3,145,5,11
1200,0,2,100,4,7,1,2,103,5,9
1205,0,2,100,4,7,1,2,103,5,9
1210,0,2,100,4,7,1,2,103,5,9
1215,0,2,100,4,7,1,2,103,5,9
1220,0,2,100,4,7,1,2,103,5,9
1225,0,2,100,4,7,1,2,103,5,9
1230,0,2,100,4,7,1,2,103,5,9
1235,0,2,100,4,7,1,2,103,5,9
1240,0,2,100,4,7,1,2,103,5,9
1245,0,2,100,4,7,1,2,103,5,9
1250,0,2,100,4,7,1,2,103,5,9
1255,0,2,100,4,7,1,2,103,5,9
1260,0,2,84,4,5,0,2,83,4,6
1265,0,2,84,4,5,0,2,83,4,6
1270,0,2,84,4,5,0,2,83,4,6
1275,0,2,84,4,5,0,2,83,4,6
1280,0,2,84,4,5,0,2,83,4,6
1285,0,2,84,4,5,0,2,83,4,6
1290,0,2,84,4,5,0,2,83,4,6
1295,0,2,84,4,5,0,2,83,4,6
1300,0,2,84,4,5,0,2,83,4,6
1305,0,2,84,4,5,0,2,83,4,6
1310,0,2,84,4,5,0,2,83,4,6
1315,0,2,84,4,5,0,2,83,4,6
1320,0,2,71,4,5,0,1,72,3,5
1325,0,2,71,4,5,0,1,72,3,5
1330,0,2,71,4,5,0,1,72,3,5
1335,0,2,71,4,5,0,1,72,3,5
1340,0,2,71,4,5,0,1,72,3,5
1345,0,2,71,4,5,0,1,72,3,5
1350,0,2,71,4,5,0,1,72,3,5
1355,0,2,71,4,5,0,1,72,3,5
1360,0,2,71,4,5,0,1,72,3,5
1365,0,2,71,4,5,0,1,72,3,5
1370,0,2,71,4,5,0,1,72,3,5
1375,0,2,71,4,5,0,1,72,3,5
1380,0,1,47,5,5,0,1,57,4,4
1385,0,1,47,5,5,0,1,57,4,4
1390,0,1,47,5,5,0,1,57,4,4
1395,0,1,47,5,5,0,1,57,4,4
1400,0,1,47,5,5,0,1,57,4,4
1405,0,1,47,5,5,0,1,57,4,4
1410,0,1,47,5,5,0,1,57,4,4
1415,0,1,47,5,5,0,1,57,4,4
1420,0,1,47,5,5,0,1,57,4,4
1425,0,1,47,5,5,0,1,57,4,4
1430,0,1,47,5,5,0,1,57,4,4
1435,0,1,47,5,5,0,1,57,4,4
