,280 Z 5min,,,,,280 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,19,2,5,0,0,24,1,2
5,0,0,19,2,5,0,0,24,1,2
10,0,0,19,2,5,0,0,24,1,2
15,0,0,19,2,5,0,0,24,1,2
20,0,0,19,2,5,0,0,24,1,2
25,0,0,19,2,5,0,0,24,1,2
30,0,0,19,2,5,0,0,24,1,2
35,0,0,19,2,5,0,0,24,1,2
40,0,0,19,2,5,0,0,24,1,2
45,0,0,19,2,5,0,0,24,1,2
50,0,0,19,2,5,0,0,24,1,2
55,0,0,19,2,5,0,0,24,1,2
60,0,0,10,1,3,0,0,11,1,3
65,0,0,10,1,3,0,0,11,1,3
70,0,0,10,1,3,0,0,11,1,3
75,0,0,10,1,3,0,0,11,1,3
80,0,0,10,1,3,0,0,11,1,3
85,0,0,10,1,3,0,0,11,1,3
90,0,0,10,1,3,0,0,11,1,3
95,0,0,10,1,3,0,0,11,1,3
100,0,0,10,1,3,0,0,11,1,3
105,0,0,10,1,3,0,0,11,1,3
110,0,0,10,1,3,0,0,11,1,3
115,0,0,10,1,3,0,0,11,1,3
120,0,0,6,1,6,0,0,9,1,3
125,0,0,6,1,6,0,0,9,1,3
130,0,0,6,1,6,0,0,9,1,3
135,0,0,6,1,6,0,0,9,1,3
140,0,0,6,1,6,0,0,9,1,3
145,0,0,6,1,6,0,0,9,1,3
150,0,0,6,1,6,0,0,9,1,3
155,0,0,6,1,6,0,0,9,1,3
160,0,0,6,1,6,0,0,9,1,3
165,0,0,6,1,6,0,0,9,1,3
170,0,0,6,1,6,0,0,9,1,3
175,0,0,6,1,6,0,0,9,1,3
180,0,0,12,2,4,0,0,11,1,3
185,0,0,12,2,4,0,0,11,1,3
190,0,0,12,2,4,0,0,11,1,3
195,0,0,12,2,4,0,0,11,1,3
200,0,0,12,2,4,0,0,11,1,3
205,0,0,12,2,4,0,0,11,1,3
210,0,0,12,2,4,0,0,11,1,3
215,0,0,12,2,4,0,0,11,1,3
220,0,0,12,2,4,0,0,11,1,3
225,0,0,12,2,4,0,0,11,1,3
230,0,0,12,2,4,0,0,11,1,3
235,0,0,12,2,4,0,0,11,1,3
240,0,0,33,2,36,0,0,28,2,4
245,0,0,33,2,36,0,0,28,2,4
250,0,0,33,2,36,0,0,28,2,4
255,0,0,33,2,36,0,0,28,2,4
260,0,0,33,2,36,0,0,28,2,4
265,0,0,33,2,36,0,0,28,2,4
270,0,0,33,2,36,0,0,28,2,4
275,0,0,33,2,36,0,0,28,2,4
280,0,0,33,2,36,0,0,28,2,4
285,0,0,33,2,36,0,0,28,2,4
290,0,0,33,2,36,0,0,28,2,4
295,0,0,33,2,36,0,0,28,2,4
300,0,1,127,10,114,1,0,48,4,20
305,0,1,127,10,114,1,0,48,4,20
310,0,1,127,10,114,1,0,48,4,20
315,0,1,127,10,114,1,0,48,4,20
320,0,1,127,10,114,1,0,48,4,20
325,0,1,127,10,114,1,0,48,4,20
330,0,1,127,10,114,1,0,48,4,20
335,0,1,127,10,114,1,0,48,4,20
340,0,1,127,10,114,1,0,48,4,20
345,0,1,127,10,114,1,0,48,4,20
350,0,1,127,10,114,1,0,48,4,20
355,0,1,127,10,114,1,0,48,4,20
360,0,1,219,15,48,1,1,111,5,32
365,0,1,219,15,48,1,1,111,5,32
370,0,1,219,15,48,1,1,111,5,32
375,0,1,219,15,48,1,1,111,5,32
380,0,1,219,15,48,1,1,111,5,32
385,0,1,219,15,48,1,1,111,5,32
390,0,1,219,15,48,1,1,111,5,32
395,0,1,219,15,48,1,1,111,5,32
400,0,1,219,15,48,1,1,111,5,32
405,0,1,219,15,48,1,1,111,5,32
410,0,1,219,15,48,1,1,111,5,32
415,0,1,219,15,48,1,1,111,5,32
420,0,1,201,14,32,1,1,123,5,19
425,0,1,201,14,32,1,1,123,5,19
430,0,1,201,14,32,1,1,123,5,19
435,0,1,201,14,32,1,1,123,5,19
440,0,1,201,14,32,1,1,123,5,19
445,0,1,201,14,32,1,1,123,5,19
450,0,1,201,14,32,1,1,123,5,19
455,0,1,201,14,32,1,1,123,5,19
460,0,1,201,14,32,1,1,123,5,19
465,0,1,201,14,32,1,1,123,5,19
470,0,1,201,14,32,1,1,123,5,19
475,0,1,201,14,32,1,1,123,5,19
480,0,1,172,13,38,1,1,102,5,23
485,0,1,172,13,38,1,1,102,5,23
490,0,1,172,13,38,1,1,102,5,23
495,0,1,172,13,38,1,1,102,5,23
500,0,1,172,13,38,1,1,102,5,23
505,0,1,172,13,38,1,1,102,5,23
510,0,1,172,13,38,1,1,102,5,23
515,0,1,172,13,38,1,1,102,5,23
520,0,1,172,13,38,1,1,102,5,23
525,0,1,172,13,38,1,1,102,5,23
530,0,1,172,13,38,1,1,102,5,23
535,0,1,172,13,38,1,1,102,5,23
540,0,1,153,13,40,1,0,88,6,25
545,0,1,153,13,40,1,0,88,6,25
550,0,1,153,13,40,1,0,88,6,25
555,0,1,153,13,40,1,0,88,6,25
560,0,1,153,13,40,1,0,88,6,25
565,0,1,153,13,40,1,0,88,6,25
570,0,1,153,13,40,1,0,88,6,25
575,0,1,153,13,40,1,0,88,6,25
580,0,1,153,13,40,1,0,88,6,25
585,0,1,153,13,40,1,0,88,6,25
