,382 Z 5min,,,,,382 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,19,1,5,0,0,28,1,2
5,0,0,19,1,5,0,0,28,1,2
10,0,0,19,1,5,0,0,28,1,2
15,0,0,19,1,5,0,0,28,1,2
20,0,0,19,1,5,0,0,28,1,2
25,0,0,19,1,5,0,0,28,1,2
30,0,0,19,1,5,0,0,28,1,2
35,0,0,19,1,5,0,0,28,1,2
40,0,0,19,1,5,0,0,28,1,2
45,0,0,19,1,5,0,0,28,1,2
50,0,0,19,1,5,0,0,28,1,2
55,0,0,19,1,5,0,0,28,1,2
60,0,0,10,1,4,0,0,14,1,2
65,0,0,10,1,4,0,0,14,1,2
70,0,0,10,1,4,0,0,14,1,2
75,0,0,10,1,4,0,0,14,1,2
80,0,0,10,1,4,0,0,14,1,2
85,0,0,10,1,4,0,0,14,1,2
90,0,0,10,1,4,0,0,14,1,2
95,0,0,10,1,4,0,0,14,1,2
100,0,0,10,1,4,0,0,14,1,2
105,0,0,10,1,4,0,0,14,1,2
110,0,0,10,1,4,0,0,14,1,2
115,0,0,10,1,4,0,0,14,1,2
120,0,0,8,1,4,0,0,10,1,2
125,0,0,8,1,4,0,0,10,1,2
130,0,0,8,1,4,0,0,10,1,2
135,0,0,8,1,4,0,0,10,1,2
140,0,0,8,1,4,0,0,10,1,2
145,0,0,8,1,4,0,0,10,1,2
150,0,0,8,1,4,0,0,10,1,2
155,0,0,8,1,4,0,0,10,1,2
160,0,0,8,1,4,0,0,10,1,2
165,0,0,8,1,4,0,0,10,1,2
170,0,0,8,1,4,0,0,10,1,2
175,0,0,8,1,4,0,0,10,1,2
180,0,0,13,2,7,0,0,12,1,3
185,0,0,13,2,7,0,0,12,1,3
190,0,0,13,2,7,0,0,12,1,3
195,0,0,13,2,7,0,0,12,1,3
200,0,0,13,2,7,0,0,12,1,3
205,0,0,13,2,7,0,0,12,1,3
210,0,0,13,2,7,0,0,12,1,3
215,0,0,13,2,7,0,0,12,1,3
220,0,0,13,2,7,0,0,12,1,3
225,0,0,13,2,7,0,0,12,1,3
230,0,0,13,2,7,0,0,12,1,3
235,0,0,13,2,7,0,0,12,1,3
240,0,0,35,2,18,0,0,31,2,4
245,0,0,35,2,18,0,0,31,2,4
250,0,0,35,2,18,0,0,31,2,4
255,0,0,35,2,18,0,0,31,2,4
260,0,0,35,2,18,0,0,31,2,4
265,0,0,35,2,18,0,0,31,2,4
270,0,0,35,2,18,0,0,31,2,4
275,0,0,35,2,18,0,0,31,2,4
280,0,0,35,2,18,0,0,31,2,4
285,0,0,35,2,18,0,0,31,2,4
290,0,0,35,2,18,0,0,31,2,4
295,0,0,35,2,18,0,0,31,2,4
300,0,2,147,9,65,0,1,85,6,19
305,0,2,147,9,65,0,1,85,6,19
310,0,2,147,9,65,0,1,85,6,19
315,0,2,147,9,65,0,1,85,6,19
320,0,2,147,9,65,0,1,85,6,19
325,0,2,147,9,65,0,1,85,6,19
330,0,2,147,9,65,0,1,85,6,19
335,0,2,147,9,65,0,1,85,6,19
340,0,2,147,9,65,0,1,85,6,19
345,0,2,147,9,65,0,1,85,6,19
350,0,2,147,9,65,0,1,85,6,19
355,0,2,147,9,65,0,1,85,6,19
360,0,2,239,14,44,0,2,193,10,31
365,0,2,239,14,44,0,2,193,10,31
370,0,2,239,14,44,0,2,193,10,31
375,0,2,239,14,44,0,2,193,10,31
380,0,2,239,14,44,0,2,193,10,31
385,0,2,239,14,44,0,2,193,10,31
390,0,2,239,14,44,0,2,193,10,31
395,0,2,239,14,44,0,2,193,10,31
400,0,2,239,14,44,0,2,193,10,31
405,0,2,239,14,44,0,2,193,10,31
410,0,2,239,14,44,0,2,193,10,31
415,0,2,239,14,44,0,2,193,10,31
420,0,2,231,13,30,0,2,185,8,20
425,0,2,231,13,30,0,2,185,8,20
430,0,2,231,13,30,0,2,185,8,20
435,0,2,231,13,30,0,2,185,8,20
440,0,2,231,13,30,0,2,185,8,20
445,0,2,231,13,30,0,2,185,8,20
450,0,2,231,13,30,0,2,185,8,20
455,0,2,231,13,30,0,2,185,8,20
460,0,2,231,13,30,0,2,185,8,20
465,0,2,231,13,30,0,2,185,8,20
470,0,2,231,13,30,0,2,185,8,20
475,0,2,231,13,30,0,2,185,8,20
480,0,2,212,12,35,0,1,150,8,23
485,0,2,212,12,35,0,1,150,8,23
490,0,2,212,12,35,0,1,150,8,23
495,0,2,212,12,35,0,1,150,8,23
500,0,2,212,12,35,0,1,150,8,23
505,0,2,212,12,35,0,1,150,8,23
510,0,2,212,12,35,0,1,150,8,23
515,0,2,212,12,35,0,1,150,8,23
520,0,2,212,12,35,0,1,150,8,23
525,0,2,212,12,35,0,1,150,8,23
530,0,2,212,12,35,0,1,150,8,23
535,0,2,212,12,35,0,1,150,8,23
540,0,2,180,11,41,1,1,136,9,28
545,0,2,180,11,41,1,1,136,9,28
550,0,2,180,11,41,1,1,136,9,28
555,0,2,180,11,41,1,1,136,9,28
560,0,2,180,11,41,1,1,136,9,28
565,0,2,180,11,41,1,1,136,9,28
570,0,2,180,11,41,1,1,136,9,28
575,0,2,180,11,41,1,1,136,9,28
580,0,2,180,11,41,1,1,136,9,28
585,0,2,180,11,41,1,1,136,9,28
590,0,2,180,11,41,1,1,136,9,28
595,0,2,180,11,41,1,1,136,9,28
600,0,2,168,10,37,1,1,139,9,28
605,0,2,168,10,37,1,1,139,9,28
610,0,2,168,10,37,1,1,139,9,28
615,0,2,168,10,37,1,1,139,9,28
620,0,2,168,10,37,1,1,139,9,28
625,0,2,168,10,37,1,1,139,9,28
630,0,2,168,10,37,1,1,139,9,28
635,0,2,168,10,37,1,1,139,9,28
640,0,2,168,10,37,1,1,139,9,28
645,0,2,168,10,37,1,1,139,9,28
650,0,2,168,10,37,1,1,139,9,28
655,0,2,168,10,37,1,1,139,9,28
660,0,2,167,11,33,0,1,149,9,29
665,0,2,167,11,33,0,1,149,9,29
670,0,2,167,11,33,0,1,149,9,29
675,0,2,167,11,33,0,1,149,9,29
680,0,2,167,11,33,0,1,149,9,29
685,0,2,167,11,33,0,1,149,9,29
690,0,2,167,11,33,0,1,149,9,29
695,0,2,167,11,33,0,1,149,9,29
700,0,2,167,11,33,0,1,149,9,29
705,0,2,167,11,33,0,1,149,9,29
710,0,2,167,11,33,0,1,149,9,29
715,0,2,167,11,33,0,1,149,9,29
720,0,2,177,10,31,0,1,163,8,27
725,0,2,177,10,31,0,1,163,8,27
730,0,2,177,10,31,0,1,163,8,27
735,0,2,177,10,31,0,1,163,8,27
740,0,2,177,10,31,0,1,163,8,27
745,0,2,177,10,31,0,1,163,8,27
750,0,2,177,10,31,0,1,163,8,27
755,0,2,177,10,31,0,1,163,8,27
760,0,2,177,10,31,0,1,163,8,27
765,0,2,177,10,31,0,1,163,8,27
770,0,2,177,10,31,0,1,163,8,27
775,0,2,177,10,31,0,1,163,8,27
780,0,2,186,12,34,0,1,160,8,25
785,0,2,186,12,34,0,1,160,8,25
790,0,2,186,12,34,0,1,160,8,25
795,0,2,186,12,34,0,1,160,8,25
800,0,2,186,12,34,0,1,160,8,25
805,0,2,186,12,34,0,1,160,8,25
810,0,2,186,12,34,0,1,160,8,25
815,0,2,186,12,34,0,1,160,8,25
820,0,2,186,12,34,0,1,160,8,25
825,0,2,186,12,34,0,1,160,8,25
830,0,2,186,12,34,0,1,160,8,25
835,0,2,186,12,34,0,1,160,8,25
840,1,2,193,12,38,0,1,174,9,27
845,1,2,193,12,38,0,1,174,9,27
850,1,2,193,12,38,0,1,174,9,27
855,1,2,193,12,38,0,1,174,9,27
860,1,2,193,12,38,0,1,174,9,27
865,1,2,193,12,38,0,1,174,9,27
870,1,2,193,12,38,0,1,174,9,27
875,1,2,193,12,38,0,1,174,9,27
