,229 Z 5min,,,,,229 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,18,2,4,0,0,26,4,3
5,0,0,18,2,4,0,0,26,4,3
10,0,0,18,2,4,0,0,26,4,3
15,0,0,18,2,4,0,0,26,4,3
20,0,0,18,2,4,0,0,26,4,3
25,0,0,18,2,4,0,0,26,4,3
30,0,0,18,2,4,0,0,26,4,3
35,0,0,18,2,4,0,0,26,4,3
40,0,0,18,2,4,0,0,26,4,3
45,0,0,18,2,4,0,0,26,4,3
50,0,0,18,2,4,0,0,26,4,3
55,0,0,18,2,4,0,0,26,4,3
60,0,0,9,2,3,0,0,11,2,3
65,0,0,9,2,3,0,0,11,2,3
70,0,0,9,2,3,0,0,11,2,3
75,0,0,9,2,3,0,0,11,2,3
80,0,0,9,2,3,0,0,11,2,3
85,0,0,9,2,3,0,0,11,2,3
90,0,0,9,2,3,0,0,11,2,3
95,0,0,9,2,3,0,0,11,2,3
100,0,0,9,2,3,0,0,11,2,3
105,0,0,9,2,3,0,0,11,2,3
110,0,0,9,2,3,0,0,11,2,3
115,0,0,9,2,3,0,0,11,2,3
120,0,0,8,1,3,0,0,7,2,3
125,0,0,8,1,3,0,0,7,2,3
130,0,0,8,1,3,0,0,7,2,3
135,0,0,8,1,3,0,0,7,2,3
140,0,0,8,1,3,0,0,7,2,3
145,0,0,8,1,3,0,0,7,2,3
150,0,0,8,1,3,0,0,7,2,3
155,0,0,8,1,3,0,0,7,2,3
160,0,0,8,1,3,0,0,7,2,3
165,0,0,8,1,3,0,0,7,2,3
170,0,0,8,1,3,0,0,7,2,3
175,0,0,8,1,3,0,0,7,2,3
180,0,0,15,3,3,0,0,9,2,4
185,0,0,15,3,3,0,0,9,2,4
190,0,0,15,3,3,0,0,9,2,4
195,0,0,15,3,3,0,0,9,2,4
200,0,0,15,3,3,0,0,9,2,4
205,0,0,15,3,3,0,0,9,2,4
210,0,0,15,3,3,0,0,9,2,4
215,0,0,15,3,3,0,0,9,2,4
220,0,0,15,3,3,0,0,9,2,4
225,0,0,15,3,3,0,0,9,2,4
230,0,0,15,3,3,0,0,9,2,4
235,0,0,15,3,3,0,0,9,2,4
240,0,1,38,4,6,0,0,25,4,5
245,0,1,38,4,6,0,0,25,4,5
250,0,1,38,4,6,0,0,25,4,5
255,0,1,38,4,6,0,0,25,4,5
260,0,1,38,4,6,0,0,25,4,5
265,0,1,38,4,6,0,0,25,4,5
270,0,1,38,4,6,0,0,25,4,5
275,0,1,38,4,6,0,0,25,4,5
280,0,1,38,4,6,0,0,25,4,5
285,0,1,38,4,6,0,0,25,4,5
290,0,1,38,4,6,0,0,25,4,5
295,0,1,38,4,6,0,0,25,4,5
300,1,1,116,15,31,1,1,85,12,24
305,1,1,116,15,31,1,1,85,12,24
310,1,1,116,15,31,1,1,85,12,24
315,1,1,116,15,31,1,1,85,12,24
320,1,1,116,15,31,1,1,85,12,24
325,1,1,116,15,31,1,1,85,12,24
330,1,1,116,15,31,1,1,85,12,24
335,1,1,116,15,31,1,1,85,12,24
340,1,1,116,15,31,1,1,85,12,24
345,1,1,116,15,31,1,1,85,12,24
350,1,1,116,15,31,1,1,85,12,24
355,1,1,116,15,31,1,1,85,12,24
360,1,1,204,29,27,1,1,189,28,33
365,1,1,204,29,27,1,1,189,28,33
370,1,1,204,29,27,1,1,189,28,33
375,1,1,204,29,27,1,1,189,28,33
380,1,1,204,29,27,1,1,189,28,33
385,1,1,204,29,27,1,1,189,28,33
390,1,1,204,29,27,1,1,189,28,33
395,1,1,204,29,27,1,1,189,28,33
400,1,1,204,29,27,1,1,189,28,33
405,1,1,204,29,27,1,1,189,28,33
410,1,1,204,29,27,1,1,189,28,33
415,1,1,204,29,27,1,1,189,28,33
420,0,2,197,27,23,1,2,193,25,24
425,0,2,197,27,23,1,2,193,25,24
430,0,2,197,27,23,1,2,193,25,24
435,0,2,197,27,23,1,2,193,25,24
440,0,2,197,27,23,1,2,193,25,24
445,0,2,197,27,23,1,2,193,25,24
450,0,2,197,27,23,1,2,193,25,24
455,0,2,197,27,23,1,2,193,25,24
460,0,2,197,27,23,1,2,193,25,24
465,0,2,197,27,23,1,2,193,25,24
470,0,2,197,27,23,1,2,193,25,24
475,0,2,197,27,23,1,2,193,25,24
480,1,1,163,21,25,1,2,164,20,25
485,1,1,163,21,25,1,2,164,20,25
490,1,1,163,21,25,1,2,164,20,25
495,1,1,163,21,25,1,2,164,20,25
500,1,1,163,21,25,1,2,164,20,25
505,1,1,163,21,25,1,2,164,20,25
510,1,1,163,21,25,1,2,164,20,25
515,1,1,163,21,25,1,2,164,20,25
520,1,1,163,21,25,1,2,164,20,25
525,1,1,163,21,25,1,2,164,20,25
530,1,1,163,21,25,1,2,164,20,25
535,1,1,163,21,25,1,2,164,20,25
540,1,1,144,19,28,1,2,142,18,27
545,1,1,144,19,28,1,2,142,18,27
550,1,1,144,19,28,1,2,142,18,27
555,1,1,144,19,28,1,2,142,18,27
560,1,1,144,19,28,1,2,142,18,27
565,1,1,144,19,28,1,2,142,18,27
570,1,1,144,19,28,1,2,142,18,27
575,1,1,144,19,28,1,2,142,18,27
580,1,1,144,19,28,1,2,142,18,27
585,1,1,144,19,28,1,2,142,18,27
590,1,1,144,19,28,1,2,142,18,27
595,1,1,144,19,28,1,2,142,18,27
