,50 B off 1,,,,,50 B off 2,,,,,50 B on 1,,,,,50 B on 2,,,,,50 Z off,,,,,50 Z on 1,,,,,50 Z on 2,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
850,0,1,47,6,5,0,1,31,4,8,0,0,3,0,0,0,1,28,3,6,0,1,31,4,7,0,1,29,4,8,0,2,51,6,6
855,0,1,46,5,5,0,1,30,3,8,0,0,3,0,0,0,1,27,3,6,0,1,30,3,8,0,1,29,3,9,0,1,50,6,7
860,0,1,48,6,5,0,1,31,4,7,0,0,3,0,0,0,1,29,3,6,0,1,31,4,7,0,1,30,3,8,0,2,52,6,6
865,0,2,46,6,5,0,1,30,4,7,0,0,3,0,0,0,1,27,3,5,0,1,30,4,7,0,1,29,4,7,0,2,50,6,6
870,0,1,44,6,5,0,1,29,4,8,0,0,3,0,0,0,1,26,3,6,0,1,28,4,7,0,1,27,3,8,0,1,47,6,6
875,0,1,48,6,5,0,1,31,4,7,0,0,3,0,0,0,1,29,3,6,0,1,31,4,7,0,1,30,4,8,0,1,52,6,6
880,0,2,48,5,5,0,2,31,3,7,0,0,3,0,0,0,1,28,3,6,0,2,31,3,7,0,1,30,3,8,0,3,51,5,6
885,0,1,47,5,5,0,1,31,3,7,0,0,3,0,0,0,1,28,3,5,0,1,31,3,7,0,1,30,3,7,0,2,51,5,6
890,0,2,48,6,4,0,1,31,4,6,0,0,3,0,0,0,1,28,3,5,0,1,31,4,6,0,1,30,4,7,0,2,52,6,5
895,0,1,48,6,4,0,1,31,4,6,0,0,3,0,0,0,1,28,3,5,0,1,31,4,6,0,1,30,4,7,0,1,51,6,5
900,0,2,47,6,4,0,1,31,4,6,0,0,3,0,0,0,1,28,3,5,0,1,31,4,6,0,1,30,4,7,0,2,51,6,5
905,0,1,49,6,4,0,1,32,4,6,0,0,3,0,0,0,1,29,3,5,0,1,32,4,6,0,1,30,4,7,0,1,52,6,5
910,0,2,50,5,4,0,1,33,3,6,0,0,3,0,0,0,1,30,3,5,0,1,33,3,6,0,1,31,3,7,0,2,54,6,5
915,0,1,49,6,5,0,1,32,4,7,0,0,3,0,0,0,1,29,3,5,0,1,32,4,7,0,1,31,4,7,0,2,53,6,6
920,0,1,51,6,4,0,1,33,4,6,0,0,3,0,0,0,1,31,3,5,0,1,33,4,6,0,1,32,4,7,0,2,55,6,5
925,0,1,53,7,5,0,1,34,4,7,0,0,3,0,0,0,1,31,4,6,0,1,34,4,7,0,1,33,4,8,0,2,57,7,6
930,0,2,52,7,4,0,1,34,5,6,0,0,3,0,0,0,1,31,4,5,0,1,34,5,6,0,1,33,4,7,0,2,56,8,5
935,0,2,53,7,4,0,1,35,5,5,0,0,3,0,0,0,1,32,4,4,0,1,35,5,5,0,1,33,4,6,0,2,57,8,4
940,0,2,53,7,4,0,1,35,5,6,0,0,3,0,0,0,1,32,4,5,0,1,35,5,6,0,1,33,4,7,0,2,57,8,5
945,0,2,54,7,4,0,1,35,5,6,0,0,3,0,0,0,1,32,4,5,0,1,35,5,6,0,1,33,4,7,0,2,58,8,5
950,0,2,56,7,3,0,1,36,5,5,0,0,3,0,0,0,1,33,4,4,0,1,36,5,5,0,1,35,4,5,0,2,60,8,4
955,0,2,56,7,4,0,1,37,5,6,0,0,3,0,0,0,1,33,4,5,0,1,37,5,6,0,1,35,5,7,0,2,61,8,5
960,0,2,58,7,4,0,1,38,5,6,0,0,4,0,0,0,1,35,4,4,0,1,38,5,5,0,1,36,5,6,0,2,63,8,5
965,0,2,65,7,4,0,2,42,5,5,0,0,4,0,0,0,1,38,4,4,0,2,42,5,5,0,1,40,4,6,0,3,70,8,4
970,0,3,67,8,4,0,2,43,5,5,0,0,4,0,0,0,2,40,5,4,0,2,43,5,5,0,2,42,5,6,0,3,72,8,4
975,0,3,64,7,3,0,2,42,5,4,0,0,4,0,0,0,2,38,4,3,0,2,42,5,4,0,2,40,5,4,0,3,69,8,3
980,0,3,69,7,3,0,2,45,5,5,0,0,4,0,0,0,2,41,4,4,0,2,45,5,5,0,2,43,5,5,0,3,75,8,4
985,0,3,70,7,3,0,2,45,5,4,0,0,4,0,0,0,2,41,4,4,0,2,45,5,4,0,2,43,5,5,0,3,75,8,4
990,0,3,69,8,3,0,2,45,5,4,0,0,4,0,0,0,2,41,5,4,0,2,45,5,4,0,2,43,5,5,0,3,74,8,4
995,0,3,75,8,2,0,2,49,5,3,0,0,5,0,0,0,2,45,5,2,0,2,49,5,3,0,2,47,5,3,0,3,81,9,2
1000,0,3,72,8,3,0,2,47,5,4,0,0,4,0,0,0,2,43,5,3,0,2,47,5,4,0,2,45,5,4,0,3,78,9,3
1005,0,3,72,8,3,0,2,47,5,4,0,0,4,0,0,0,2,43,5,4,0,2,47,5,4,0,2,45,5,5,0,3,78,9,4
1010,0,3,74,7,3,0,2,48,5,4,0,0,4,0,0,0,2,44,4,3,0,2,48,5,4,0,2,46,5,4,0,3,80,8,3
1015,0,3,75,8,2,0,2,49,5,4,0,0,5,0,0,0,2,44,5,3,0,2,49,5,4,0,2,47,5,4,0,3,81,9,3
1020,0,3,74,7,2,0,2,48,5,3,0,0,4,0,0,0,2,44,4,3,0,2,48,5,3,0,2,46,4,4,0,3,80,8,3
1025,0,3,84,8,2,0,2,55,5,3,0,0,5,0,0,0,2,50,5,2,0,2,55,5,3,0,2,52,5,3,0,3,90,9,2
1030,0,3,83,7,2,0,2,54,5,3,0,0,5,0,0,0,2,49,4,3,0,2,54,5,3,0,2,52,5,4,0,3,89,8,3
1035,0,3,83,7,2,0,2,54,4,3,0,0,5,0,0,0,2,49,4,2,0,2,54,4,3,0,2,52,4,3,0,3,89,7,2
1040,0,3,83,6,2,0,2,54,4,3,0,0,5,0,0,0,2,49,4,3,0,2,54,4,3,0,2,52,4,4,0,3,89,7,3
1045,0,3,80,7,1,0,2,52,4,2,0,0,5,0,0,0,2,48,4,1,0,2,52,4,2,0,2,50,4,2,0,3,87,7,1
1050,0,3,80,7,2,0,2,52,5,3,0,0,5,0,0,0,2,47,4,2,0,2,52,5,3,0,2,50,4,3,0,3,86,8,2
1055,0,3,82,6,1,0,2,53,4,2,0,0,5,0,0,0,2,49,4,2,0,2,53,4,2,0,2,51,4,2,0,3,89,7,2
1060,0,3,78,6,1,0,2,50,4,1,0,0,5,0,0,0,2,46,3,1,0,2,50,4,1,0,2,48,4,1,0,3,84,6,1
1065,0,3,74,6,2,0,2,48,4,2,0,0,4,0,0,0,2,44,3,2,0,2,48,4,2,0,2,46,4,3,0,3,80,6,2
1070,0,2,71,6,2,0,2,46,4,3,0,0,4,0,0,0,1,42,3,2,0,2,46,4,3,0,1,45,3,3,0,3,77,6,2
1075,0,3,72,5,2,0,2,47,3,2,0,0,4,0,0,0,2,42,3,2,0,2,47,3,2,0,2,45,3,3,0,3,77,5,2
1080,0,2,70,4,2,0,2,45,3,2,0,0,4,0,0,0,1,41,3,2,0,2,45,3,2,0,1,44,3,3,0,3,75,5,2
1085,0,2,67,5,2,0,2,44,3,3,0,0,4,0,0,0,1,40,3,2,0,2,44,3,3,0,1,42,3,3,0,3,73,5,2
1090,0,2,67,5,2,0,2,44,3,2,0,0,4,0,0,0,1,40,3,2,0,2,43,3,2,0,1,42,3,3,0,3,72,5,2
1095,0,3,63,4,1,0,2,41,2,2,0,0,4,0,0,0,2,37,2,1,0,2,41,2,2,0,2,39,2,2,0,3,68,4,1
1100,0,2,61,4,1,0,1,39,2,2,0,0,4,0,0,0,1,36,2,2,0,1,39,2,2,0,1,38,2,2,0,2,65,4,2
1105,0,2,59,3,1,0,1,38,2,2,0,0,4,0,0,0,1,35,2,1,0,1,38,2,2,0,1,37,2,2,0,2,63,3,1
1110,0,2,57,4,1,0,1,37,2,2,0,0,3,0,0,0,1,34,2,1,0,1,37,2,2,0,1,36,2,2,0,2,61,4,1
1115,0,2,56,4,1,0,1,37,2,2,0,0,3,0,0,0,1,33,2,1,0,1,36,2,2,0,1,35,2,2,0,2,61,4,1
1120,0,1,56,3,1,0,1,36,2,1,0,0,3,0,0,0,1,33,2,1,0,1,36,2,1,0,1,35,2,1,0,2,60,3,1
1125,0,1,53,3,1,0,1,35,2,1,0,0,3,0,0,0,1,32,2,1,0,1,35,2,1,0,1,33,2,1,0,2,57,3,1
1130,0,2,50,3,1,0,1,33,2,2,0,0,3,0,0,0,1,30,2,2,0,1,33,2,2,0,1,31,2,2,0,2,54,3,2
1135,0,2,49,3,1,0,1,32,2,1,0,0,3,0,0,0,1,29,2,1,0,1,32,2,1,0,1,31,2,1,0,2,53,3,1
1140,0,1,45,3,1,0,1,29,2,2,0,0,3,0,0,0,1,27,2,1,0,1,29,2,2,0,1,28,2,2,0,1,49,3,1
1145,0,1,47,3,1,0,1,31,2,2,0,0,3,0,0,0,1,28,2,1,0,1,31,2,2,0,1,29,2,2,0,2,51,3,1
1150,0,1,47,3,1,0,1,30,2,1,0,0,3,0,0,0,1,28,2,1,0,1,30,2,1,0,1,29,2,1,0,1,50,3,1
1155,0,1,47,3,1,0,1,30,2,1,0,0,3,0,0,0,1,28,2,1,0,1,30,2,1,0,1,29,2,1,0,2,50,3,1
1160,0,1,42,3,2,0,1,27,2,2,0,0,3,0,0,0,1,25,2,2,0,1,27,2,2,0,1,26,2,3,0,2,45,3,2
1165,0,2,42,2,1,0,1,27,2,1,0,0,3,0,0,0,1,25,1,1,0,1,27,2,1,0,1,26,1,1,0,2,45,3,1
1170,0,1,39,2,1,0,1,25,1,2,0,0,2,0,0,0,1,23,1,2,0,1,25,1,2,0,1,24,1,2,0,2,42,2,2
1175,0,1,39,2,1,0,1,26,1,2,0,0,2,0,0,0,1,23,1,1,0,1,26,1,2,0,1,25,1,2,0,1,43,2,1
1180,0,1,39,3,1,0,1,25,2,1,0,0,2,0,0,0,1,23,2,1,0,1,25,2,1,0,1,24,2,1,0,2,42,3,1
1185,0,1,36,2,1,0,1,23,1,1,0,0,2,0,0,0,1,21,1,1,0,1,23,1,1,0,1,22,1,1,0,2,38,2,1
1190,0,1,34,2,1,0,1,22,2,1,0,0,2,0,0,0,1,20,1,1,0,1,22,2,1,0,1,21,1,1,0,1,37,3,1
1195,0,1,32,2,1,0,1,21,2,1,0,0,2,0,0,0,1,19,1,1,0,1,21,2,1,0,1,20,1,1,0,1,35,3,1
1200,0,1,32,2,1,0,1,21,1,2,0,0,2,0,0,0,1,19,1,1,0,1,21,1,2,0,1,20,1,2,0,1,34,2,1
1205,0,1,31,2,1,0,1,20,1,2,0,0,2,0,0,0,1,18,1,1,0,1,20,1,2,0,1,19,1,2,0,1,33,2,1
1210,0,1,32,2,1,0,1,21,1,1,0,0,2,0,0,0,1,19,1,1,0,1,21,1,1,0,1,20,1,1,0,2,35,2,1
1215,0,1,30,2,1,0,1,20,1,1,0,0,2,0,0,0,1,18,1,1,0,1,20,1,1,0,1,19,1,1,0,1,32,2,1
1220,0,1,31,2,0,0,1,20,1,0,0,0,2,0,0,0,1,18,1,0,0,1,20,1,0,0,1,19,1,0,0,2,33,2,0
1225,0,1,30,2,1,0,1,20,1,2,0,0,2,0,0,0,1,18,1,1,0,1,20,1,2,0,1,19,1,2,0,2,32,2,1
1230,0,1,29,2,1,0,1,19,1,1,0,0,2,0,0,0,1,17,1,1,0,1,19,1,1,0,1,18,1,1,0,1,31,2,1
1235,0,1,28,2,1,0,1,18,1,2,0,0,2,0,0,0,1,16,1,1,0,1,18,1,2,0,1,17,1,2,0,1,30,2,1
1240,0,1,28,2,0,0,1,18,1,0,0,0,2,0,0,0,1,16,1,0,0,1,18,1,0,0,1,17,1,0,0,1,30,2,0
1245,0,1,27,2,0,0,1,18,1,0,0,0,2,0,0,0,1,16,1,0,0,1,17,1,0,0,1,17,1,0,0,1,29,2,0
1250,0,1,28,1,1,0,1,18,1,1,0,0,2,0,0,0,1,16,1,1,0,1,18,1,1,0,1,17,1,1,0,1,30,1,1
1255,0,1,27,1,1,0,1,17,1,1,0,0,2,0,0,0,1,16,1,1,0,1,17,1,1,0,1,17,1,1,0,1,29,2,1
1260,0,1,25,1,1,0,1,16,1,1,0,0,2,0,0,0,1,15,1,1,0,1,16,1,1,0,1,16,1,1,0,1,27,2,1
1265,0,1,26,2,1,0,1,17,1,1,0,0,2,0,0,0,1,16,1,1,0,1,17,1,1,0,1,16,1,1,0,1,28,2,1
1270,0,1,26,1,0,0,0,17,1,0,0,0,2,0,0,0,0,15,1,0,0,0,17,1,0,0,0,16,1,0,0,1,28,1,0
1275,0,1,27,2,0,0,1,17,1,0,0,0,2,0,0,0,1,16,1,0,0,1,17,1,0,0,1,17,1,0,0,1,29,2,0
1280,0,1,25,1,0,0,1,16,1,0,0,0,1,0,0,0,1,15,1,0,0,1,16,1,0,0,1,16,1,0,0,1,27,1,0
1285,0,1,25,1,0,0,1,16,1,0,0,0,1,0,0,0,1,15,1,0,0,1,16,1,0,0,1,16,1,0,0,1,27,1,0
1290,0,1,24,1,1,0,0,15,1,1,0,0,1,0,0,0,0,14,1,1,0,0,15,1,1,0,0,15,1,1,0,1,26,1,1
1295,0,1,24,1,1,0,1,15,1,1,0,0,1,0,0,0,1,14,1,1,0,1,15,1,1,0,1,15,1,1,0,1,26,2,1
1300,0,1,24,1,1,0,0,16,1,1,0,0,1,0,0,0,0,14,1,1,0,0,16,1,1,0,0,15,1,1,0,1,26,1,1
1305,0,1,23,1,1,0,0,15,1,1,0,0,1,0,0,0,0,14,1,1,0,0,15,1,1,0,0,14,1,1,0,1,25,1,1
1310,0,1,24,1,0,0,0,16,1,0,0,0,1,0,0,0,0,14,1,0,0,0,16,1,0,0,0,15,1,0,0,1,26,1,0
1315,0,1,22,1,1,0,0,14,1,1,0,0,1,0,0,0,0,13,1,1,0,0,14,1,1,0,0,14,1,1,0,1,24,2,1
1320,0,1,23,1,0,0,0,15,1,0,0,0,1,0,0,0,0,14,1,0,0,0,15,1,0,0,0,14,1,0,0,1,25,2,0
1325,0,1,23,1,0,0,0,15,1,0,0,0,1,0,0,0,0,14,1,0,0,0,15,1,0,0,0,14,1,0,0,1,25,2,0
1330,0,1,22,1,0,0,0,14,1,0,0,0,1,0,0,0,0,13,1,0,0,0,14,1,0,0,0,14,1,0,0,1,24,2,0
1335,0,1,23,1,0,0,1,15,1,0,0,0,1,0,0,0,1,14,1,0,0,1,15,1,0,0,1,14,1,0,0,1,25,1,0
1340,0,1,22,1,1,0,0,14,1,1,0,0,1,0,0,0,0,13,1,1,0,0,14,1,1,0,0,14,1,1,0,1,24,1,1
1345,0,1,21,1,0,0,0,14,1,0,0,0,1,0,0,0,0,12,1,0,0,0,13,1,0,0,0,13,1,0,0,1,22,1,0
1350,0,1,19,1,0,0,0,13,1,0,0,0,1,0,0,0,0,11,1,0,0,0,13,1,0,0,0,12,1,0,0,1,21,1,0
1355,0,1,19,1,0,0,1,12,1,0,0,0,1,0,0,0,1,11,1,0,0,1,12,1,0,0,1,12,1,0,0,1,20,1,0
1360,0,1,18,1,0,0,0,12,0,0,0,0,1,0,0,0,0,11,0,0,0,0,12,0,0,0,0,11,0,0,0,1,19,1,0
1365,0,1,16,1,0,0,0,11,0,0,0,0,1,0,0,0,0,10,0,0,0,0,11,0,0,0,0,10,0,0,0,1,18,1,0
1370,0,1,17,1,0,0,0,11,1,0,0,0,1,0,0,0,0,10,1,0,0,0,11,1,0,0,0,11,1,0,0,1,18,1,0
1375,0,1,17,0,0,0,0,11,0,0,0,0,1,0,0,0,0,10,0,0,0,0,11,0,0,0,0,10,0,0,0,1,18,0,0
1380,0,0,15,1,0,0,0,10,0,0,0,0,1,0,0,0,0,9,0,0,0,0,10,0,0,0,0,9,0,0,0,0,16,1,0
1385,0,1,16,0,0,0,0,10,0,0,0,0,1,0,0,0,0,9,0,0,0,0,10,0,0,0,0,10,0,0,0,1,17,0,0
1390,0,1,15,0,0,0,0,10,0,0,0,0,1,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,1,16,0,0
1395,0,1,14,1,0,0,0,9,0,0,0,0,1,0,0,0,0,8,0,0,0,0,9,0,0,0,0,9,0,0,0,1,15,1,0
1400,0,1,13,1,0,0,0,9,0,0,0,0,1,0,0,0,0,8,0,0,0,0,9,0,0,0,0,8,0,0,0,1,15,1,0
1405,0,0,11,1,0,0,0,7,0,0,0,0,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,12,1,0
1410,0,1,11,0,0,0,0,7,0,0,0,0,1,0,0,0,0,6,0,0,0,0,7,0,0,0,0,7,0,0,0,1,12,0,0
1415,0,1,10,0,0,0,0,6,0,0,0,0,1,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,1,11,0,0
1420,0,0,9,1,0,0,0,6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,10,1,0
1425,0,1,10,0,0,0,0,6,0,0,0,0,1,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,1,10,0,0
1430,0,0,8,0,0,0,0,6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,6,0,0,0,0,5,0,0,0,0,9,0,0
1435,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,8,0,0
