,298 Z 5min,,,,,298 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,19,2,3,0,0,27,1,2
5,0,0,19,2,3,0,0,27,1,2
10,0,0,19,2,3,0,0,27,1,2
15,0,0,19,2,3,0,0,27,1,2
20,0,0,19,2,3,0,0,27,1,2
25,0,0,19,2,3,0,0,27,1,2
30,0,0,19,2,3,0,0,27,1,2
35,0,0,19,2,3,0,0,27,1,2
40,0,0,19,2,3,0,0,27,1,2
45,0,0,19,2,3,0,0,27,1,2
50,0,0,19,2,3,0,0,27,1,2
55,0,0,19,2,3,0,0,27,1,2
60,0,0,10,1,3,0,0,12,1,2
65,0,0,10,1,3,0,0,12,1,2
70,0,0,10,1,3,0,0,12,1,2
75,0,0,10,1,3,0,0,12,1,2
80,0,0,10,1,3,0,0,12,1,2
85,0,0,10,1,3,0,0,12,1,2
90,0,0,10,1,3,0,0,12,1,2
95,0,0,10,1,3,0,0,12,1,2
100,0,0,10,1,3,0,0,12,1,2
105,0,0,10,1,3,0,0,12,1,2
110,0,0,10,1,3,0,0,12,1,2
115,0,0,10,1,3,0,0,12,1,2
120,0,0,7,1,3,0,0,9,1,2
125,0,0,7,1,3,0,0,9,1,2
130,0,0,7,1,3,0,0,9,1,2
135,0,0,7,1,3,0,0,9,1,2
140,0,0,7,1,3,0,0,9,1,2
145,0,0,7,1,3,0,0,9,1,2
150,0,0,7,1,3,0,0,9,1,2
155,0,0,7,1,3,0,0,9,1,2
160,0,0,7,1,3,0,0,9,1,2
165,0,0,7,1,3,0,0,9,1,2
170,0,0,7,1,3,0,0,9,1,2
175,0,0,7,1,3,0,0,9,1,2
180,0,0,12,2,4,0,0,10,1,2
185,0,0,12,2,4,0,0,10,1,2
190,0,0,12,2,4,0,0,10,1,2
195,0,0,12,2,4,0,0,10,1,2
200,0,0,12,2,4,0,0,10,1,2
205,0,0,12,2,4,0,0,10,1,2
210,0,0,12,2,4,0,0,10,1,2
215,0,0,12,2,4,0,0,10,1,2
