,49 B off,,,,,49 B on,,,,,49 Z off,,,,,49 Z on,,,,,,,,,,,,,,,,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,,,,,,,,,,,,,,,
1150,0,1,37,3,0,0,1,49,3,0,0,1,49,3,0,0,1,37,3,0,,,,,,,,,,,,,,,
1155,0,0,36,3,0,0,0,46,3,1,0,0,47,3,1,0,0,36,3,0,,,,,,,,,,,,,,,
1160,0,0,34,3,0,0,0,44,3,1,0,0,45,3,1,0,0,34,3,0,,,,,,,,,,,,,,,
1165,0,0,33,2,0,0,0,43,3,0,0,0,43,3,0,0,0,33,2,0,,,,,,,,,,,,,,,
1170,0,0,30,2,0,0,0,39,3,0,0,0,40,3,0,0,0,30,2,0,,,,,,,,,,,,,,,
1175,0,0,29,2,0,0,0,38,3,0,0,0,39,3,0,0,0,29,2,0,,,,,,,,,,,,,,,
1180,0,0,29,2,0,0,0,38,3,0,0,0,39,3,0,0,0,29,2,0,,,,,,,,,,,,,,,
1185,0,0,27,2,0,0,0,35,3,0,0,0,36,3,0,0,0,27,2,0,,,,,,,,,,,,,,,
1190,0,0,26,2,0,0,0,33,3,0,0,0,34,3,0,0,0,26,2,0,,,,,,,,,,,,,,,
1195,0,0,24,2,0,0,0,32,3,0,0,0,32,3,0,0,0,24,2,0,,,,,,,,,,,,,,,
1200,0,0,23,2,0,0,0,30,2,0,0,0,30,2,0,0,0,23,2,0,,,,,,,,,,,,,,,
1205,0,0,23,2,0,0,0,30,2,0,0,0,30,2,0,0,0,23,2,0,,,,,,,,,,,,,,,
1210,0,0,24,2,0,0,0,31,2,0,0,0,31,2,0,0,0,24,2,0,,,,,,,,,,,,,,,
1215,0,0,23,2,0,0,0,30,2,0,0,0,30,2,0,0,0,23,2,0,,,,,,,,,,,,,,,
1220,0,0,22,2,0,0,0,29,2,0,0,0,29,2,0,0,0,22,2,0,,,,,,,,,,,,,,,
1225,0,0,22,2,0,0,0,28,2,0,0,0,29,2,0,0,0,22,2,0,,,,,,,,,,,,,,,
1230,0,0,21,2,0,0,0,27,2,0,0,0,27,2,0,0,0,21,2,0,,,,,,,,,,,,,,,
1235,0,0,21,2,0,0,0,27,2,0,0,0,27,2,0,0,0,21,2,0,,,,,,,,,,,,,,,
1240,0,0,20,2,0,0,0,26,2,0,0,0,27,2,0,0,0,20,2,0,,,,,,,,,,,,,,,
1245,0,0,20,2,0,0,0,26,2,0,0,0,26,2,0,0,0,20,2,0,,,,,,,,,,,,,,,
1250,0,0,19,2,0,0,0,24,2,0,0,0,25,2,0,0,0,19,2,0,,,,,,,,,,,,,,,
1255,0,0,19,2,0,0,0,24,2,0,0,0,25,2,0,0,0,19,2,0,,,,,,,,,,,,,,,
1260,0,0,18,2,0,0,0,24,2,0,0,0,24,2,0,0,0,18,2,0,,,,,,,,,,,,,,,
1265,0,0,18,2,0,0,0,24,2,0,0,0,24,2,0,0,0,18,2,0,,,,,,,,,,,,,,,
1270,0,0,19,2,0,0,0,24,2,0,0,0,25,2,0,0,0,19,2,0,,,,,,,,,,,,,,,
1275,0,0,19,2,0,0,0,25,2,0,0,0,25,2,0,0,0,19,2,0,,,,,,,,,,,,,,,
1280,0,0,19,2,0,0,0,24,2,0,0,0,25,2,0,0,0,19,2,0,,,,,,,,,,,,,,,
1285,0,0,18,1,0,0,0,24,2,0,0,0,24,2,0,0,0,18,1,0,,,,,,,,,,,,,,,
1290,0,0,18,2,0,0,0,23,2,0,0,0,24,2,0,0,0,18,2,0,,,,,,,,,,,,,,,
1295,0,0,18,1,0,0,0,23,2,0,0,0,24,2,0,0,0,18,1,0,,,,,,,,,,,,,,,
1300,0,0,18,1,0,0,0,23,2,0,0,0,24,2,0,0,0,18,1,0,,,,,,,,,,,,,,,
1305,0,0,17,1,0,0,0,23,1,0,0,0,23,1,0,0,0,18,1,0,,,,,,,,,,,,,,,
1310,0,0,17,1,0,0,0,22,2,0,0,0,23,2,0,0,0,17,1,0,,,,,,,,,,,,,,,
1315,0,0,17,1,0,0,0,23,2,0,0,0,23,2,0,0,0,18,1,0,,,,,,,,,,,,,,,
1320,0,0,17,1,0,0,0,22,1,0,0,0,23,1,0,0,0,17,1,0,,,,,,,,,,,,,,,
1325,0,0,18,1,0,0,0,23,2,0,0,0,24,2,0,0,0,18,1,0,,,,,,,,,,,,,,,
1330,0,0,18,1,0,0,0,23,2,0,0,0,24,2,0,0,0,18,1,0,,,,,,,,,,,,,,,
1335,0,0,18,1,0,0,0,24,1,0,0,0,24,1,0,0,0,18,1,0,,,,,,,,,,,,,,,
1340,0,0,18,1,0,0,0,24,1,0,0,0,24,1,0,0,0,18,1,0,,,,,,,,,,,,,,,
1345,0,0,18,1,0,0,0,24,1,0,0,0,24,1,0,0,0,18,1,0,,,,,,,,,,,,,,,
1350,0,0,17,1,0,0,0,22,1,0,0,0,22,1,0,0,0,17,1,0,,,,,,,,,,,,,,,
1355,0,0,16,1,0,0,0,21,1,0,0,0,22,1,0,0,0,16,1,0,,,,,,,,,,,,,,,
1360,0,0,15,1,0,0,0,20,1,0,0,0,20,1,0,0,0,15,1,0,,,,,,,,,,,,,,,
1365,0,0,14,1,0,0,0,19,1,0,0,0,19,1,0,0,0,14,1,0,,,,,,,,,,,,,,,
1370,0,0,13,1,0,0,0,18,1,0,0,0,18,1,0,0,0,14,1,0,,,,,,,,,,,,,,,
1375,0,0,13,1,0,0,0,17,2,0,0,0,17,2,0,0,0,13,1,0,,,,,,,,,,,,,,,
1380,0,0,13,1,0,0,0,16,1,0,0,0,17,1,0,0,0,13,1,0,,,,,,,,,,,,,,,
1385,0,0,12,1,0,0,0,16,2,0,0,0,16,2,0,0,0,12,1,0,,,,,,,,,,,,,,,
1390,0,0,11,2,0,0,0,15,2,0,0,0,15,2,0,0,0,11,2,0,,,,,,,,,,,,,,,
1395,0,0,12,2,0,0,0,15,2,1,0,0,15,2,1,0,0,12,2,0,,,,,,,,,,,,,,,
1400,0,0,11,2,0,0,0,15,2,1,0,0,15,2,1,0,0,11,2,0,,,,,,,,,,,,,,,
1405,0,0,11,2,0,0,0,14,2,0,0,0,14,2,0,0,0,11,2,0,,,,,,,,,,,,,,,
1410,0,0,10,2,0,0,0,13,2,0,0,0,13,2,0,0,0,10,2,0,,,,,,,,,,,,,,,
1415,0,0,9,1,0,0,0,12,2,0,0,0,12,2,0,0,0,9,1,0,,,,,,,,,,,,,,,
1420,0,0,9,1,0,0,0,11,1,0,0,0,11,1,0,0,0,9,1,0,,,,,,,,,,,,,,,
1425,0,0,8,1,0,0,0,10,2,0,0,0,11,2,0,0,0,8,1,0,,,,,,,,,,,,,,,
1430,0,0,8,1,0,0,0,10,1,0,0,0,10,1,0,0,0,8,1,0,,,,,,,,,,,,,,,
1435,0,0,7,1,0,0,0,9,1,0,0,0,10,1,0,0,0,7,1,0,,,,,,,,,,,,,,,
