,49 B off,,,,,49 B on,,,,,49 Z off,,,,,49 Z on,,,,,,,,,,,,,,,,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,,,,,,,,,,,,,,,
265,0,0,8,1,0,0,0,10,1,0,0,0,10,1,0,0,0,8,1,0,,,,,,,,,,,,,,,
270,0,0,8,1,0,0,0,10,1,1,0,0,11,1,1,0,0,8,1,0,,,,,,,,,,,,,,,
275,0,0,9,1,1,0,0,12,1,1,0,0,12,1,1,0,0,9,1,1,,,,,,,,,,,,,,,
280,0,0,8,1,0,0,0,11,1,1,0,0,11,1,1,0,0,8,1,0,,,,,,,,,,,,,,,
285,0,0,8,1,1,0,0,11,1,1,0,0,11,1,1,0,0,8,1,1,,,,,,,,,,,,,,,
290,0,0,8,1,1,0,0,10,1,2,0,0,10,1,2,0,0,8,1,1,,,,,,,,,,,,,,,
295,0,0,8,1,1,0,0,10,1,2,0,0,10,1,2,0,0,8,1,1,,,,,,,,,,,,,,,
300,0,0,9,1,2,0,0,12,1,3,0,0,12,1,3,0,0,9,1,2,,,,,,,,,,,,,,,
305,0,0,10,1,3,0,0,13,2,4,0,0,13,2,4,0,0,10,1,3,,,,,,,,,,,,,,,
310,0,0,12,1,2,0,0,16,2,3,0,0,16,2,3,0,0,12,1,2,,,,,,,,,,,,,,,
315,0,0,16,2,2,0,0,20,2,3,0,0,21,2,3,0,0,16,2,2,,,,,,,,,,,,,,,
320,0,0,17,2,3,0,0,23,2,4,0,0,23,2,4,0,0,18,2,3,,,,,,,,,,,,,,,
325,0,0,19,2,3,0,0,24,2,4,0,0,25,2,4,0,0,19,2,2,,,,,,,,,,,,,,,
330,0,0,22,2,2,0,0,28,3,3,0,0,28,3,3,0,0,22,2,2,,,,,,,,,,,,,,,
335,0,0,26,3,3,0,0,34,4,4,0,0,35,4,4,0,0,26,3,3,,,,,,,,,,,,,,,
340,0,0,29,3,3,0,0,38,4,4,0,0,39,4,4,0,0,29,3,3,,,,,,,,,,,,,,,
345,0,0,30,3,2,0,0,39,5,3,0,0,39,5,3,0,0,30,3,2,,,,,,,,,,,,,,,
350,0,0,31,4,3,0,0,41,5,4,0,0,41,5,4,0,0,31,4,2,,,,,,,,,,,,,,,
355,0,0,32,4,3,0,0,42,6,4,0,0,42,6,4,0,0,32,4,3,,,,,,,,,,,,,,,
360,0,0,35,5,3,0,0,46,6,4,0,0,46,7,4,0,0,35,5,3,,,,,,,,,,,,,,,
365,0,0,39,6,3,0,0,51,7,4,0,0,52,7,4,0,0,39,6,2,,,,,,,,,,,,,,,
370,0,0,43,6,3,0,0,56,8,4,0,0,57,8,4,0,0,43,6,3,,,,,,,,,,,,,,,
375,0,0,45,7,3,0,0,58,9,4,0,0,59,9,4,0,0,45,7,3,,,,,,,,,,,,,,,
380,0,0,46,7,3,0,0,59,9,4,0,0,60,9,4,0,0,46,7,2,,,,,,,,,,,,,,,
385,0,0,48,7,4,0,0,63,9,5,0,0,64,9,5,0,0,49,7,3,,,,,,,,,,,,,,,
390,0,0,51,7,3,0,0,66,9,4,0,0,67,9,4,0,0,51,7,3,,,,,,,,,,,,,,,
395,0,0,54,8,3,0,0,70,10,4,0,0,72,10,4,0,0,54,8,3,,,,,,,,,,,,,,,
400,0,0,55,8,3,0,0,72,10,5,0,0,73,11,5,0,0,55,8,3,,,,,,,,,,,,,,,
405,0,1,53,8,4,0,1,69,11,5,0,1,70,11,5,0,1,53,8,3,,,,,,,,,,,,,,,
410,0,1,51,8,4,0,1,66,11,5,0,1,67,11,5,0,1,51,8,3,,,,,,,,,,,,,,,
