,280 Z 5min,,,,,280 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,23,2,3,0,0,49,2,3
5,0,0,23,2,3,0,0,49,2,3
10,0,0,23,2,3,0,0,49,2,3
15,0,0,23,2,3,0,0,49,2,3
20,0,0,23,2,3,0,0,49,2,3
25,0,0,23,2,3,0,0,49,2,3
30,0,0,23,2,3,0,0,49,2,3
35,0,0,23,2,3,0,0,49,2,3
40,0,0,23,2,3,0,0,49,2,3
45,0,0,23,2,3,0,0,49,2,3
50,0,0,23,2,3,0,0,49,2,3
55,0,0,23,2,3,0,0,49,2,3
60,0,0,12,2,2,0,0,23,2,3
65,0,0,12,2,2,0,0,23,2,3
70,0,0,12,2,2,0,0,23,2,3
75,0,0,12,2,2,0,0,23,2,3
80,0,0,12,2,2,0,0,23,2,3
85,0,0,12,2,2,0,0,23,2,3
90,0,0,12,2,2,0,0,23,2,3
95,0,0,12,2,2,0,0,23,2,3
100,0,0,12,2,2,0,0,23,2,3
105,0,0,12,2,2,0,0,23,2,3
110,0,0,12,2,2,0,0,23,2,3
115,0,0,12,2,2,0,0,23,2,3
120,0,0,8,1,4,0,0,19,1,3
125,0,0,8,1,4,0,0,19,1,3
130,0,0,8,1,4,0,0,19,1,3
135,0,0,8,1,4,0,0,19,1,3
140,0,0,8,1,4,0,0,19,1,3
145,0,0,8,1,4,0,0,19,1,3
150,0,0,8,1,4,0,0,19,1,3
155,0,0,8,1,4,0,0,19,1,3
160,0,0,8,1,4,0,0,19,1,3
165,0,0,8,1,4,0,0,19,1,3
170,0,0,8,1,4,0,0,19,1,3
175,0,0,8,1,4,0,0,19,1,3
180,0,0,14,3,3,0,0,22,2,3
185,0,0,14,3,3,0,0,22,2,3
190,0,0,14,3,3,0,0,22,2,3
195,0,0,14,3,3,0,0,22,2,3
200,0,0,14,3,3,0,0,22,2,3
205,0,0,14,3,3,0,0,22,2,3
210,0,0,14,3,3,0,0,22,2,3
215,0,0,14,3,3,0,0,22,2,3
220,0,0,14,3,3,0,0,22,2,3
225,0,0,14,3,3,0,0,22,2,3
230,0,0,14,3,3,0,0,22,2,3
235,0,0,14,3,3,0,0,22,2,3
240,0,0,39,3,25,0,1,58,4,5
245,0,0,39,3,25,0,1,58,4,5
250,0,0,39,3,25,0,1,58,4,5
255,0,0,39,3,25,0,1,58,4,5
260,0,0,39,3,25,0,1,58,4,5
265,0,0,39,3,25,0,1,58,4,5
270,0,0,39,3,25,0,1,58,4,5
275,0,0,39,3,25,0,1,58,4,5
280,0,0,39,3,25,0,1,58,4,5
285,0,0,39,3,25,0,1,58,4,5
290,0,0,39,3,25,0,1,58,4,5
295,0,0,39,3,25,0,1,58,4,5
300,0,1,151,12,80,1,1,99,8,23
305,0,1,151,12,80,1,1,99,8,23
310,0,1,151,12,80,1,1,99,8,23
315,0,1,151,12,80,1,1,99,8,23
320,0,1,151,12,80,1,1,99,8,23
325,0,1,151,12,80,1,1,99,8,23
330,0,1,151,12,80,1,1,99,8,23
335,0,1,151,12,80,1,1,99,8,23
340,0,1,151,12,80,1,1,99,8,23
345,0,1,151,12,80,1,1,99,8,23
350,0,1,151,12,80,1,1,99,8,23
355,0,1,151,12,80,1,1,99,8,23
360,0,1,261,18,34,1,1,229,11,38
365,0,1,261,18,34,1,1,229,11,38
370,0,1,261,18,34,1,1,229,11,38
375,0,1,261,18,34,1,1,229,11,38
380,0,1,261,18,34,1,1,229,11,38
385,0,1,261,18,34,1,1,229,11,38
390,0,1,261,18,34,1,1,229,11,38
395,0,1,261,18,34,1,1,229,11,38
400,0,1,261,18,34,1,1,229,11,38
405,0,1,261,18,34,1,1,229,11,38
410,0,1,261,18,34,1,1,229,11,38
415,0,1,261,18,34,1,1,229,11,38
420,0,1,240,16,22,1,1,252,10,23
425,0,1,240,16,22,1,1,252,10,23
430,0,1,240,16,22,1,1,252,10,23
435,0,1,240,16,22,1,1,252,10,23
440,0,1,240,16,22,1,1,252,10,23
445,0,1,240,16,22,1,1,252,10,23
450,0,1,240,16,22,1,1,252,10,23
455,0,1,240,16,22,1,1,252,10,23
460,0,1,240,16,22,1,1,252,10,23
465,0,1,240,16,22,1,1,252,10,23
470,0,1,240,16,22,1,1,252,10,23
475,0,1,240,16,22,1,1,252,10,23
480,0,1,206,16,27,1,1,209,10,27
485,0,1,206,16,27,1,1,209,10,27
490,0,1,206,16,27,1,1,209,10,27
495,0,1,206,16,27,1,1,209,10,27
500,0,1,206,16,27,1,1,209,10,27
505,0,1,206,16,27,1,1,209,10,27
510,0,1,206,16,27,1,1,209,10,27
515,0,1,206,16,27,1,1,209,10,27
520,0,1,206,16,27,1,1,209,10,27
525,0,1,206,16,27,1,1,209,10,27
530,0,1,206,16,27,1,1,209,10,27
535,0,1,206,16,27,1,1,209,10,27
540,0,1,183,16,28,1,1,181,11,30
545,0,1,183,16,28,1,1,181,11,30
550,0,1,183,16,28,1,1,181,11,30
555,0,1,183,16,28,1,1,181,11,30
560,0,1,183,16,28,1,1,181,11,30
565,0,1,183,16,28,1,1,181,11,30
570,0,1,183,16,28,1,1,181,11,30
575,0,1,183,16,28,1,1,181,11,30
580,0,1,183,16,28,1,1,181,11,30
585,0,1,183,16,28,1,1,181,11,30
590,0,1,183,16,28,1,1,181,11,30
595,0,1,183,16,28,1,1,181,11,30
600,0,1,179,16,29,1,1,177,12,31
605,0,1,179,16,29,1,1,177,12,31
610,0,1,179,16,29,1,1,177,12,31
615,0,1,179,16,29,1,1,177,12,31
620,0,1,179,16,29,1,1,177,12,31
625,0,1,179,16,29,1,1,177,12,31
630,0,1,179,16,29,1,1,177,12,31
635,0,1,179,16,29,1,1,177,12,31
640,0,1,179,16,29,1,1,177,12,31
645,0,1,179,16,29,1,1,177,12,31
650,0,1,179,16,29,1,1,177,12,31
655,0,1,179,16,29,1,1,177,12,31
660,0,1,187,16,27,1,1,185,12,33
665,0,1,187,16,27,1,1,185,12,33
670,0,1,187,16,27,1,1,185,12,33
675,0,1,187,16,27,1,1,185,12,33
680,0,1,187,16,27,1,1,185,12,33
685,0,1,187,16,27,1,1,185,12,33
690,0,1,187,16,27,1,1,185,12,33
695,0,1,187,16,27,1,1,185,12,33
700,0,1,187,16,27,1,1,185,12,33
705,0,1,187,16,27,1,1,185,12,33
710,0,1,187,16,27,1,1,185,12,33
715,0,1,187,16,27,1,1,185,12,33
720,0,1,202,16,23,1,1,206,10,31
725,0,1,202,16,23,1,1,206,10,31
730,0,1,202,16,23,1,1,206,10,31
735,0,1,202,16,23,1,1,206,10,31
740,0,1,202,16,23,1,1,206,10,31
745,0,1,202,16,23,1,1,206,10,31
750,0,1,202,16,23,1,1,206,10,31
755,0,1,202,16,23,1,1,206,10,31
760,0,1,202,16,23,1,1,206,10,31
765,0,1,202,16,23,1,1,206,10,31
770,0,1,202,16,23,1,1,206,10,31
775,0,1,202,16,23,1,1,206,10,31
780,0,1,210,18,32,1,1,214,10,28
785,0,1,210,18,32,1,1,214,10,28
790,0,1,210,18,32,1,1,214,10,28
795,0,1,210,18,32,1,1,214,10,28
800,0,1,210,18,32,1,1,214,10,28
805,0,1,210,18,32,1,1,214,10,28
810,0,1,210,18,32,1,1,214,10,28
815,0,1,210,18,32,1,1,214,10,28
820,0,1,210,18,32,1,1,214,10,28
825,0,1,210,18,32,1,1,214,10,28
830,0,1,210,18,32,1,1,214,10,28
835,0,1,210,18,32,1,1,214,10,28
840,0,1,220,18,29,1,1,216,10,31
845,0,1,220,18,29,1,1,216,10,31
850,0,1,220,18,29,1,1,216,10,31
855,0,1,220,18,29,1,1,216,10,31
860,0,1,220,18,29,1,1,216,10,31
865,0,1,220,18,29,1,1,216,10,31
870,0,1,220,18,29,1,1,216,10,31
875,0,1,220,18,29,1,1,216,10,31
880,0,1,220,18,29,1,1,216,10,31
885,0,1,220,18,29,1,1,216,10,31
890,0,1,220,18,29,1,1,216,10,31
895,0,1,220,18,29,1,1,216,10,31
900,0,1,250,15,26,1,1,225,10,26
905,0,1,250,15,26,1,1,225,10,26
910,0,1,250,15,26,1,1,225,10,26
915,0,1,250,15,26,1,1,225,10,26
920,0,1,250,15,26,1,1,225,10,26
925,0,1,250,15,26,1,1,225,10,26
930,0,1,250,15,26,1,1,225,10,26
935,0,1,250,15,26,1,1,225,10,26
940,0,1,250,15,26,1,1,225,10,26
945,0,1,250,15,26,1,1,225,10,26
950,0,1,250,15,26,1,1,225,10,26
955,0,1,250,15,26,1,1,225,10,26
960,0,1,315,13,15,1,1,249,10,22
965,0,1,315,13,15,1,1,249,10,22
