,48 B off,,,,,48 B on,,,,,48 Z off,,,,,48 Z on,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0
5,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0
10,1,0,5,0,0,1,0,4,0,0,1,0,5,0,0,1,0,5,0,0
15,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0
20,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0
25,1,0,4,0,0,1,0,3,0,0,1,0,4,0,0,1,0,4,0,0
30,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0
35,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0
40,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0
45,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0
50,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0
55,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0
60,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0
65,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
70,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
75,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
80,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
85,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
90,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
95,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
100,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
105,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
110,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
115,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
120,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
125,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
130,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
135,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
140,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
145,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
150,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
155,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
160,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
165,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
170,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
175,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
180,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
185,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
190,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
195,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
200,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
205,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
210,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
215,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
220,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
225,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
230,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
235,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
240,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0
245,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0
250,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0
255,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0
260,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0
265,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0
270,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0
275,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0
280,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0
285,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0
290,0,0,6,1,0,0,0,5,0,0,0,0,6,1,0,0,0,6,1,0
295,0,0,6,1,0,0,0,5,1,0,0,0,6,1,0,0,0,6,1,0
300,0,0,8,1,0,0,0,7,1,0,0,0,8,1,0,0,0,8,1,0
305,0,0,9,1,0,0,0,8,1,0,0,0,9,1,0,0,0,9,1,0
310,0,0,10,1,0,0,0,9,1,0,0,0,10,1,0,0,0,10,1,0
315,0,0,10,1,0,0,0,9,1,0,0,0,10,1,0,0,0,10,1,0
320,0,0,12,1,0,0,0,10,1,0,0,0,11,1,0,0,0,11,1,0
325,1,0,14,2,0,1,0,12,1,0,1,0,13,2,0,1,0,13,2,0
330,0,0,16,2,0,0,0,14,1,0,0,0,15,2,0,0,0,15,2,0
335,0,0,16,2,0,0,0,15,1,0,0,0,16,2,0,0,0,16,2,0
340,1,0,17,2,0,1,0,16,2,0,1,0,17,2,0,1,0,17,2,0
345,0,0,21,3,0,0,0,18,2,0,0,0,20,3,0,0,0,20,3,0
350,0,0,22,3,0,0,0,20,2,0,0,0,22,3,0,0,0,21,3,0
355,2,0,21,3,0,2,0,19,3,0,3,0,21,3,0,2,0,20,3,0
360,0,0,23,4,0,0,0,21,3,0,0,0,23,4,0,0,0,22,4,0
365,0,0,25,4,0,0,0,23,3,0,0,0,25,4,0,0,0,24,4,0
370,2,0,27,4,1,2,0,24,4,1,3,0,26,4,1,2,0,26,4,1
375,0,0,28,5,0,0,0,25,5,0,0,0,28,5,0,0,0,28,5,0
380,0,0,31,5,2,0,0,27,4,2,0,0,30,5,3,0,0,30,5,2
385,2,0,32,5,2,2,0,29,5,2,3,0,31,5,3,2,0,31,5,2
390,0,0,35,5,2,0,0,31,5,2,0,0,34,5,3,0,0,34,5,2
395,0,0,34,6,2,0,0,31,5,2,0,0,34,6,3,0,0,33,6,2
400,2,0,36,6,2,2,0,32,5,2,3,0,35,6,3,2,0,35,6,2
405,0,0,36,7,2,0,0,32,6,2,0,0,35,7,3,0,0,35,7,2
410,0,0,35,7,2,0,0,32,6,3,0,0,35,7,4,0,0,34,7,3
415,2,0,32,6,2,2,0,29,5,2,3,0,31,6,3,2,0,31,6,2
420,0,0,34,5,2,0,0,30,5,3,0,0,33,5,4,0,0,33,5,3
425,0,0,33,6,2,0,0,30,5,3,0,0,33,6,4,0,0,32,6,3
430,2,0,36,6,2,2,0,32,5,2,3,0,35,6,3,2,0,35,6,2
435,0,0,36,6,3,0,0,32,6,5,0,0,35,6,6,0,0,35,6,3
440,0,0,35,6,2,0,0,31,6,3,0,0,34,6,4,0,0,34,6,3
445,2,0,33,6,2,2,0,30,6,3,3,0,33,6,4,2,0,32,6,3
450,0,0,33,6,2,0,0,30,5,3,0,0,33,6,4,0,0,32,6,3
