,072 Z 5min,,,,,072 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,15,2,4,0,1,20,4,3
5,0,0,15,2,4,0,1,20,4,3
10,0,0,15,2,4,0,1,20,4,3
15,0,0,15,2,4,0,1,20,4,3
20,0,0,15,2,4,0,1,20,4,3
25,0,0,15,2,4,0,1,20,4,3
30,0,0,15,2,4,0,1,20,4,3
35,0,0,15,2,4,0,1,20,4,3
40,0,0,15,2,4,0,1,20,4,3
45,0,0,15,2,4,0,1,20,4,3
50,0,0,15,2,4,0,1,20,4,3
55,0,0,15,2,4,0,1,20,4,3
60,0,0,8,2,3,0,0,8,2,3
65,0,0,8,2,3,0,0,8,2,3
70,0,0,8,2,3,0,0,8,2,3
75,0,0,8,2,3,0,0,8,2,3
80,0,0,8,2,3,0,0,8,2,3
85,0,0,8,2,3,0,0,8,2,3
90,0,0,8,2,3,0,0,8,2,3
95,0,0,8,2,3,0,0,8,2,3
100,0,0,8,2,3,0,0,8,2,3
105,0,0,8,2,3,0,0,8,2,3
110,0,0,8,2,3,0,0,8,2,3
115,0,0,8,2,3,0,0,8,2,3
120,0,0,7,1,2,0,0,5,2,2
125,0,0,7,1,2,0,0,5,2,2
130,0,0,7,1,2,0,0,5,2,2
135,0,0,7,1,2,0,0,5,2,2
140,0,0,7,1,2,0,0,5,2,2
145,0,0,7,1,2,0,0,5,2,2
150,0,0,7,1,2,0,0,5,2,2
155,0,0,7,1,2,0,0,5,2,2
160,0,0,7,1,2,0,0,5,2,2
165,0,0,7,1,2,0,0,5,2,2
170,0,0,7,1,2,0,0,5,2,2
175,0,0,7,1,2,0,0,5,2,2
180,0,0,13,2,3,0,0,7,2,3
185,0,0,13,2,3,0,0,7,2,3
190,0,0,13,2,3,0,0,7,2,3
195,0,0,13,2,3,0,0,7,2,3
200,0,0,13,2,3,0,0,7,2,3
205,0,0,13,2,3,0,0,7,2,3
210,0,0,13,2,3,0,0,7,2,3
215,0,0,13,2,3,0,0,7,2,3
220,0,0,13,2,3,0,0,7,2,3
225,0,0,13,2,3,0,0,7,2,3
230,0,0,13,2,3,0,0,7,2,3
235,0,0,13,2,3,0,0,7,2,3
240,0,0,35,4,5,0,1,19,5,5
245,0,0,35,4,5,0,1,19,5,5
250,0,0,35,4,5,0,1,19,5,5
255,0,0,35,4,5,0,1,19,5,5
260,0,0,35,4,5,0,1,19,5,5
265,0,0,35,4,5,0,1,19,5,5
270,0,0,35,4,5,0,1,19,5,5
275,0,0,35,4,5,0,1,19,5,5
280,0,0,35,4,5,0,1,19,5,5
285,0,0,35,4,5,0,1,19,5,5
290,0,0,35,4,5,0,1,19,5,5
295,0,0,35,4,5,0,1,19,5,5
300,0,1,118,13,30,0,2,78,16,25
305,0,1,118,13,30,0,2,78,16,25
310,0,1,118,13,30,0,2,78,16,25
315,0,1,118,13,30,0,2,78,16,25
320,0,1,118,13,30,0,2,78,16,25
325,0,1,118,13,30,0,2,78,16,25
330,0,1,118,13,30,0,2,78,16,25
335,0,1,118,13,30,0,2,78,16,25
340,0,1,118,13,30,0,2,78,16,25
345,0,1,118,13,30,0,2,78,16,25
350,0,1,118,13,30,0,2,78,16,25
355,0,1,118,13,30,0,2,78,16,25
360,0,2,198,21,27,1,2,172,28,31
365,0,2,198,21,27,1,2,172,28,31
370,0,2,198,21,27,1,2,172,28,31
375,0,2,198,21,27,1,2,172,28,31
380,0,2,198,21,27,1,2,172,28,31
385,0,2,198,21,27,1,2,172,28,31
390,0,2,198,21,27,1,2,172,28,31
395,0,2,198,21,27,1,2,172,28,31
400,0,2,198,21,27,1,2,172,28,31
405,0,2,198,21,27,1,2,172,28,31
410,0,2,198,21,27,1,2,172,28,31
415,0,2,198,21,27,1,2,172,28,31
420,0,2,184,22,21,0,3,173,27,21
425,0,2,184,22,21,0,3,173,27,21
430,0,2,184,22,21,0,3,173,27,21
435,0,2,184,22,21,0,3,173,27,21
440,0,2,184,22,21,0,3,173,27,21
445,0,2,184,22,21,0,3,173,27,21
450,0,2,184,22,21,0,3,173,27,21
455,0,2,184,22,21,0,3,173,27,21
460,0,2,184,22,21,0,3,173,27,21
465,0,2,184,22,21,0,3,173,27,21
470,0,2,184,22,21,0,3,173,27,21
475,0,2,184,22,21,0,3,173,27,21
480,0,1,155,20,23,1,2,141,26,24
485,0,1,155,20,23,1,2,141,26,24
490,0,1,155,20,23,1,2,141,26,24
495,0,1,155,20,23,1,2,141,26,24
500,0,1,155,20,23,1,2,141,26,24
505,0,1,155,20,23,1,2,141,26,24
510,0,1,155,20,23,1,2,141,26,24
515,0,1,155,20,23,1,2,141,26,24
520,0,1,155,20,23,1,2,141,26,24
525,0,1,155,20,23,1,2,141,26,24
530,0,1,155,20,23,1,2,141,26,24
535,0,1,155,20,23,1,2,141,26,24
540,0,1,134,18,26,1,3,120,25,27
545,0,1,134,18,26,1,3,120,25,27
550,0,1,134,18,26,1,3,120,25,27
555,0,1,134,18,26,1,3,120,25,27
560,0,1,134,18,26,1,3,120,25,27
565,0,1,134,18,26,1,3,120,25,27
570,0,1,134,18,26,1,3,120,25,27
575,0,1,134,18,26,1,3,120,25,27
