,335 Z 5min,,,,,335 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
0,0,0,17,1,3,0,0,23,2,3
5,0,0,17,1,3,0,0,23,2,3
10,0,0,17,1,3,0,0,23,2,3
15,0,0,17,1,3,0,0,23,2,3
20,0,0,17,1,3,0,0,23,2,3
25,0,0,17,1,3,0,0,23,2,3
30,0,0,17,1,3,0,0,23,2,3
35,0,0,17,1,3,0,0,23,2,3
40,0,0,17,1,3,0,0,23,2,3
45,0,0,17,1,3,0,0,23,2,3
50,0,0,17,1,3,0,0,23,2,3
55,0,0,17,1,3,0,0,23,2,3
60,0,0,9,1,2,0,0,10,1,3
65,0,0,9,1,2,0,0,10,1,3
70,0,0,9,1,2,0,0,10,1,3
75,0,0,9,1,2,0,0,10,1,3
80,0,0,9,1,2,0,0,10,1,3
85,0,0,9,1,2,0,0,10,1,3
90,0,0,9,1,2,0,0,10,1,3
95,0,0,9,1,2,0,0,10,1,3
100,0,0,9,1,2,0,0,10,1,3
105,0,0,9,1,2,0,0,10,1,3
110,0,0,9,1,2,0,0,10,1,3
115,0,0,9,1,2,0,0,10,1,3
120,0,0,8,1,2,0,0,6,1,2
125,0,0,8,1,2,0,0,6,1,2
130,0,0,8,1,2,0,0,6,1,2
135,0,0,8,1,2,0,0,6,1,2
140,0,0,8,1,2,0,0,6,1,2
145,0,0,8,1,2,0,0,6,1,2
150,0,0,8,1,2,0,0,6,1,2
155,0,0,8,1,2,0,0,6,1,2
160,0,0,8,1,2,0,0,6,1,2
165,0,0,8,1,2,0,0,6,1,2
170,0,0,8,1,2,0,0,6,1,2
175,0,0,8,1,2,0,0,6,1,2
180,0,0,13,2,2,0,0,10,1,4
185,0,0,13,2,2,0,0,10,1,4
190,0,0,13,2,2,0,0,10,1,4
195,0,0,13,2,2,0,0,10,1,4
200,0,0,13,2,2,0,0,10,1,4
205,0,0,13,2,2,0,0,10,1,4
210,0,0,13,2,2,0,0,10,1,4
215,0,0,13,2,2,0,0,10,1,4
220,0,0,13,2,2,0,0,10,1,4
225,0,0,13,2,2,0,0,10,1,4
230,0,0,13,2,2,0,0,10,1,4
235,0,0,13,2,2,0,0,10,1,4
240,0,1,29,3,6,0,1,28,2,5
245,0,1,29,3,6,0,1,28,2,5
250,0,1,29,3,6,0,1,28,2,5
255,0,1,29,3,6,0,1,28,2,5
260,0,1,29,3,6,0,1,28,2,5
265,0,1,29,3,6,0,1,28,2,5
270,0,1,29,3,6,0,1,28,2,5
275,0,1,29,3,6,0,1,28,2,5
280,0,1,29,3,6,0,1,28,2,5
285,0,1,29,3,6,0,1,28,2,5
290,0,1,29,3,6,0,1,28,2,5
295,0,1,29,3,6,0,1,28,2,5
300,1,2,94,7,28,1,2,94,8,22
305,1,2,94,7,28,1,2,94,8,22
310,1,2,94,7,28,1,2,94,8,22
315,1,2,94,7,28,1,2,94,8,22
320,1,2,94,7,28,1,2,94,8,22
325,1,2,94,7,28,1,2,94,8,22
330,1,2,94,7,28,1,2,94,8,22
335,1,2,94,7,28,1,2,94,8,22
340,1,2,94,7,28,1,2,94,8,22
345,1,2,94,7,28,1,2,94,8,22
350,1,2,94,7,28,1,2,94,8,22
355,1,2,94,7,28,1,2,94,8,22
360,1,5,182,12,23,2,3,196,13,29
365,1,5,182,12,23,2,3,196,13,29
370,1,5,182,12,23,2,3,196,13,29
375,1,5,182,12,23,2,3,196,13,29
380,1,5,182,12,23,2,3,196,13,29
385,1,5,182,12,23,2,3,196,13,29
