,072 Z 5min,,,,,072 B 5min,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
710,0,1,116,17,25,0,2,110,25,23
715,0,1,116,17,25,0,2,110,25,23
720,0,2,127,17,24,0,3,117,25,21
725,0,2,127,17,24,0,3,117,25,21
730,0,2,127,17,24,0,3,117,25,21
735,0,2,127,17,24,0,3,117,25,21
740,0,2,127,17,24,0,3,117,25,21
745,0,2,127,17,24,0,3,117,25,21
750,0,2,127,17,24,0,3,117,25,21
755,0,2,127,17,24,0,3,117,25,21
760,0,2,127,17,24,0,3,117,25,21
765,0,2,127,17,24,0,3,117,25,21
770,0,2,127,17,24,0,3,117,25,21
775,0,2,127,17,24,0,3,117,25,21
780,0,2,137,19,25,0,3,121,25,22
785,0,2,137,19,25,0,3,121,25,22
790,0,2,137,19,25,0,3,121,25,22
795,0,2,137,19,25,0,3,121,25,22
800,0,2,137,19,25,0,3,121,25,22
805,0,2,137,19,25,0,3,121,25,22
810,0,2,137,19,25,0,3,121,25,22
815,0,2,137,19,25,0,3,121,25,22
820,0,2,137,19,25,0,3,121,25,22
825,0,2,137,19,25,0,3,121,25,22
830,0,2,137,19,25,0,3,121,25,22
835,0,2,137,19,25,0,3,121,25,22
840,0,2,139,19,27,0,3,135,27,24
845,0,2,139,19,27,0,3,135,27,24
850,0,2,139,19,27,0,3,135,27,24
855,0,2,139,19,27,0,3,135,27,24
860,0,2,139,19,27,0,3,135,27,24
865,0,2,139,19,27,0,3,135,27,24
870,0,2,139,19,27,0,3,135,27,24
875,0,2,139,19,27,0,3,135,27,24
880,0,2,139,19,27,0,3,135,27,24
885,0,2,139,19,27,0,3,135,27,24
890,0,2,139,19,27,0,3,135,27,24
895,0,2,139,19,27,0,3,135,27,24
900,0,2,157,18,23,0,3,162,29,22
905,0,2,157,18,23,0,3,162,29,22
910,0,2,157,18,23,0,3,162,29,22
915,0,2,157,18,23,0,3,162,29,22
920,0,2,157,18,23,0,3,162,29,22
925,0,2,157,18,23,0,3,162,29,22
930,0,2,157,18,23,0,3,162,29,22
935,0,2,157,18,23,0,3,162,29,22
940,0,2,157,18,23,0,3,162,29,22
945,0,2,157,18,23,0,3,162,29,22
950,0,2,157,18,23,0,3,162,29,22
955,0,2,157,18,23,0,3,162,29,22
960,0,2,189,17,17,0,4,202,28,16
965,0,2,189,17,17,0,4,202,28,16
970,0,2,189,17,17,0,4,202,28,16
975,0,2,189,17,17,0,4,202,28,16
980,0,2,189,17,17,0,4,202,28,16
985,0,2,189,17,17,0,4,202,28,16
990,0,2,189,17,17,0,4,202,28,16
995,0,2,189,17,17,0,4,202,28,16
1000,0,2,189,17,17,0,4,202,28,16
1005,0,2,189,17,17,0,4,202,28,16
1010,0,2,189,17,17,0,4,202,28,16
1015,0,2,189,17,17,0,4,202,28,16
1020,0,2,203,15,12,0,4,201,24,11
1025,0,2,203,15,12,0,4,201,24,11
1030,0,2,203,15,12,0,4,201,24,11
1035,0,2,203,15,12,0,4,201,24,11
1040,0,2,203,15,12,0,4,201,24,11
1045,0,2,203,15,12,0,4,201,24,11
1050,0,2,203,15,12,0,4,201,24,11
1055,0,2,203,15,12,0,4,201,24,11
1060,0,2,203,15,12,0,4,201,24,11
1065,0,2,203,15,12,0,4,201,24,11
1070,0,2,203,15,12,0,4,201,24,11
1075,0,2,203,15,12,0,4,201,24,11
1080,0,2,163,12,10,0,4,155,23,11
1085,0,2,163,12,10,0,4,155,23,11
1090,0,2,163,12,10,0,4,155,23,11
1095,0,2,163,12,10,0,4,155,23,11
1100,0,2,163,12,10,0,4,155,23,11
1105,0,2,163,12,10,0,4,155,23,11
1110,0,2,163,12,10,0,4,155,23,11
1115,0,2,163,12,10,0,4,155,23,11
1120,0,2,163,12,10,0,4,155,23,11
1125,0,2,163,12,10,0,4,155,23,11
1130,0,2,163,12,10,0,4,155,23,11
1135,0,2,163,12,10,0,4,155,23,11
1140,0,1,110,8,8,0,3,105,18,9
1145,0,1,110,8,8,0,3,105,18,9
1150,0,1,110,8,8,0,3,105,18,9
1155,0,1,110,8,8,0,3,105,18,9
1160,0,1,110,8,8,0,3,105,18,9
1165,0,1,110,8,8,0,3,105,18,9
1170,0,1,110,8,8,0,3,105,18,9
1175,0,1,110,8,8,0,3,105,18,9
1180,0,1,110,8,8,0,3,105,18,9
1185,0,1,110,8,8,0,3,105,18,9
1190,0,1,110,8,8,0,3,105,18,9
1195,0,1,110,8,8,0,3,105,18,9
1200,0,1,77,6,6,0,2,74,16,7
1205,0,1,77,6,6,0,2,74,16,7
1210,0,1,77,6,6,0,2,74,16,7
1215,0,1,77,6,6,0,2,74,16,7
1220,0,1,77,6,6,0,2,74,16,7
1225,0,1,77,6,6,0,2,74,16,7
1230,0,1,77,6,6,0,2,74,16,7
1235,0,1,77,6,6,0,2,74,16,7
1240,0,1,77,6,6,0,2,74,16,7
1245,0,1,77,6,6,0,2,74,16,7
1250,0,1,77,6,6,0,2,74,16,7
1255,0,1,77,6,6,0,2,74,16,7
1260,0,1,64,4,4,0,2,59,13,5
1265,0,1,64,4,4,0,2,59,13,5
1270,0,1,64,4,4,0,2,59,13,5
1275,0,1,64,4,4,0,2,59,13,5
1280,0,1,64,4,4,0,2,59,13,5
1285,0,1,64,4,4,0,2,59,13,5
1290,0,1,64,4,4,0,2,59,13,5
1295,0,1,64,4,4,0,2,59,13,5
1300,0,1,64,4,4,0,2,59,13,5
1305,0,1,64,4,4,0,2,59,13,5
1310,0,1,64,4,4,0,2,59,13,5
1315,0,1,64,4,4,0,2,59,13,5
1320,0,1,55,5,4,0,2,54,10,4
1325,0,1,55,5,4,0,2,54,10,4
1330,0,1,55,5,4,0,2,54,10,4
1335,0,1,55,5,4,0,2,54,10,4
1340,0,1,55,5,4,0,2,54,10,4
1345,0,1,55,5,4,0,2,54,10,4
1350,0,1,55,5,4,0,2,54,10,4
1355,0,1,55,5,4,0,2,54,10,4
1360,0,1,55,5,4,0,2,54,10,4
1365,0,1,55,5,4,0,2,54,10,4
1370,0,1,55,5,4,0,2,54,10,4
1375,0,1,55,5,4,0,2,54,10,4
1380,0,0,36,6,5,0,1,44,9,3
1385,0,0,36,6,5,0,1,44,9,3
1390,0,0,36,6,5,0,1,44,9,3
1395,0,0,36,6,5,0,1,44,9,3
1400,0,0,36,6,5,0,1,44,9,3
1405,0,0,36,6,5,0,1,44,9,3
1410,0,0,36,6,5,0,1,44,9,3
1415,0,0,36,6,5,0,1,44,9,3
1420,0,0,36,6,5,0,1,44,9,3
1425,0,0,36,6,5,0,1,44,9,3
1430,0,0,36,6,5,0,1,44,9,3
1435,0,0,36,6,5,0,1,44,9,3
